Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:01:13,400","00:01:34,080",au,73.4,94.08,20.68,"[74.362 76.004 77.66  79.279 80.9   82.514 84.146 85.762 87.37  88.978
 90.546 92.092 93.626]",[1.642 1.656 1.619 1.621 1.614 1.632 1.616 1.608 1.608 1.568 1.546 1.534],12,0
Section_2,"00:01:31,860","00:01:53,300",au,91.86,113.3,21.44,"[ 92.092  93.626  95.1    96.5    97.906  99.282 100.644 102.018 103.375
 104.722 106.074 107.386 108.722 110.05  111.37  112.724]","[1.534 1.474 1.4   1.406 1.376 1.362 1.374 1.357 1.347 1.352 1.312 1.336
 1.328 1.32  1.354]",15,0
Section_3,"00:02:26,280","00:03:06,740",au,146.28,186.74,40.46,"[147.098 148.351 149.615 150.874 152.108 153.348 154.618 155.876 157.095
 158.34  159.562 160.794 162.004 163.242 164.484 165.732 166.972 168.204
 169.434 170.647 171.86  173.074 174.271 175.476 176.692 177.898 179.111
 180.308 181.508 182.695 183.9   185.098 186.266]","[1.253 1.264 1.259 1.234 1.24  1.27  1.258 1.219 1.245 1.222 1.232 1.21
 1.238 1.242 1.248 1.24  1.232 1.23  1.213 1.213 1.214 1.197 1.205 1.216
 1.206 1.213 1.197 1.2   1.187 1.205 1.198 1.168]",32,2
Section_4,"00:02:58,940","00:03:16,880",au,178.94,196.88,17.94,"[179.111 180.308 181.508 182.695 183.9   185.098 186.266 187.45  188.647
 189.839 191.05  192.236 193.412 194.607 195.788]","[1.197 1.2   1.187 1.205 1.198 1.168 1.184 1.197 1.192 1.211 1.186 1.176
 1.195 1.181]",14,2
Section_5,"00:03:15,020","00:03:35,560",au,195.02,215.56,20.54,"[195.788 196.999 198.207 199.426 200.594 201.807 203.004 204.191 205.37
 206.543 207.727 208.916 210.1   211.284 212.471 213.655 214.844]","[1.211 1.208 1.219 1.168 1.213 1.197 1.187 1.179 1.173 1.184 1.189 1.184
 1.184 1.187 1.184 1.189]",16,2
Section_6,"00:03:35,560","00:04:00,940",au,215.56,240.94,25.38,"[216.01  217.191 218.38  219.588 220.794 221.943 223.124 224.292 225.455
 226.615 227.78  228.954 230.114 231.276 232.442 233.594 234.783 235.919
 237.098 238.247 239.372 240.548]","[1.181 1.189 1.208 1.206 1.149 1.181 1.168 1.163 1.16  1.165 1.174 1.16
 1.162 1.166 1.152 1.189 1.136 1.179 1.149 1.125 1.176]",21,5
Section_7,"00:04:26,480","00:04:54,040",au,266.48,294.04,27.56,"[266.996 268.167 269.316 270.452 271.591 272.738 273.847 274.959 276.066
 277.167 278.279 279.431 280.538 281.666 282.799 283.914 285.034 286.156
 287.268 288.386 289.498 290.623 291.743 292.866 294.012]","[1.171 1.149 1.136 1.139 1.147 1.109 1.112 1.107 1.101 1.112 1.152 1.107
 1.128 1.133 1.115 1.12  1.122 1.112 1.118 1.112 1.125 1.12  1.123 1.146]",24,9
Section_8,"00:04:28,720","00:04:57,560",au,268.72,297.56,28.84,"[269.316 270.452 271.591 272.738 273.847 274.959 276.066 277.167 278.279
 279.431 280.538 281.666 282.799 283.914 285.034 286.156 287.268 288.386
 289.498 290.623 291.743 292.866 294.012 295.143 296.266 297.399]","[1.136 1.139 1.147 1.109 1.112 1.107 1.101 1.112 1.152 1.107 1.128 1.133
 1.115 1.12  1.122 1.112 1.118 1.112 1.125 1.12  1.123 1.146 1.131 1.123
 1.133]",25,10
Section_9,"00:04:54,240","00:05:31,060",au,294.24,331.06,36.82,"[295.143 296.266 297.399 298.532 299.65  300.778 301.919 303.058 304.178
 305.314 306.444 307.575 308.708 309.847 310.98  312.116 313.255 314.378
 315.492 316.61  317.743 318.879 319.996 321.124 322.242 323.372 324.495
 325.612 326.74  327.871 328.999 330.116]","[1.123 1.133 1.133 1.118 1.128 1.141 1.139 1.12  1.136 1.13  1.131 1.133
 1.139 1.133 1.136 1.139 1.123 1.114 1.118 1.133 1.136 1.117 1.128 1.118
 1.13  1.123 1.117 1.128 1.131 1.128 1.117]",31,13
Section_10,"00:05:59,780","00:06:18,320",au,359.78,378.32,18.54,"[360.735 361.871 362.996 364.13  365.258 366.372 367.492 368.612 369.716
 370.828 371.94  373.055 374.167 375.266 376.38  377.492]","[1.136 1.125 1.134 1.128 1.114 1.12  1.12  1.104 1.112 1.112 1.115 1.112
 1.099 1.114 1.112]",15,17
Section_11,"00:06:17,260","00:06:40,940",au,377.26,400.94,23.68,"[377.492 378.607 379.724 380.847 381.951 383.052 384.132 385.226 386.279
 387.343 388.482 389.556 390.687 391.78  392.868 393.948 395.026 396.087
 397.18  398.236 399.306 400.362]","[1.115 1.117 1.123 1.104 1.101 1.08  1.094 1.053 1.064 1.139 1.074 1.131
 1.093 1.088 1.08  1.078 1.061 1.093 1.056 1.07  1.056]",21,18
Section_12,"00:06:35,720","00:06:59,800",au,395.72,419.8,24.08,"[396.087 397.18  398.236 399.306 400.362 401.434 402.49  403.57  404.62
 405.692 406.783 407.858 408.938 409.991 411.066 412.135 413.223 414.3
 415.375 416.471 417.554 418.663 419.78 ]","[1.093 1.056 1.07  1.056 1.072 1.056 1.08  1.05  1.072 1.091 1.075 1.08
 1.053 1.075 1.069 1.088 1.077 1.075 1.096 1.083 1.109 1.117]",22,26
