Dun,J1,J2
0.039,23.297666666,0.055
0.153666666,23.663,25.748333333
28.188333333,24.513666666,26.113666666
29.932333333,24.876333333,26.361666666
30.065666666,25.151,26.759
30.263,25.783,26.977666666
30.508333333,26.127,27.340333333
30.841666666,26.980333333,27.591
31.220333333,27.340333333,27.927
31.657666666,27.588333333,28.175
32.225666666,28.217666666,28.521666666
32.380333333,28.527,28.761666666
32.817666666,29.359,29.105666666
33.529666666,29.681666666,29.345666666
33.932333333,29.903,29.705666666
34.500333333,30.516333333,29.932333333
35.081666666000004,30.855,30.281666666
35.777666666,31.641666666,30.521666666
36.193666666,32.001666666,30.847
36.783,32.225666666,31.095
37.313666666,32.815,31.444333333
37.996333333,33.143,31.679
38.412333333,33.943,32.020333333
38.985666666,34.268333333,32.239
39.569666666,34.508333333,32.569666666
40.252333333,35.076333333,32.799
40.652333333,35.415,33.151
41.241666666,36.180333333,33.385666666
41.777666666,36.521666666,33.708333333
42.489666666,36.764333333,33.953666666000004
42.889666666,37.327,34.289666666
43.476333333,37.652333333,34.521666666
44.028333333,38.425666666,34.839
44.745666666,38.761666666,35.073666666
45.140333333,39.001666666,35.399
45.719,39.543,35.631
46.281666666,39.884333333,35.956333333
47.012333333,40.652333333,36.199
47.401666666,40.985666666,36.532333333
47.983,41.204333333,36.748333333
48.545666666,41.775,37.081666666
49.244333333,42.119,37.327
49.628333333,42.895,37.649666666
50.212333333,43.231,37.876333333
50.788333333,43.473666666,38.196333333
51.492333333,44.031,38.433666666
51.876333333,44.361666666,38.764333333
52.455,45.167,38.985666666
52.999,45.500333333,39.305666666
53.676333333,45.724333333,39.537666666
54.057666666,46.281666666,39.884333333
54.620333333,46.633666666,40.103
55.183,47.423,40.433666666
55.868333333,47.743,40.668333333
56.273666666,47.975,40.985666666
56.804333333,48.532333333,41.225666666
56.932333333,48.871,41.551
57.119,49.641666666,41.783
57.343,49.969666666,42.111
57.660333333,50.196333333,42.337666666
58.012333333,50.769666666,42.681666666
58.431,51.108333333,42.927
58.972333333,51.916333333,43.231
