Dun,J1,J2
12.916333333,0.940333333,14.996333333
15.809666666,3.631,15.871
17.143,3.719,16.279
17.481666666,3.801666666,16.903000000000002
18.249666666,3.873666666,17.105666666
19.055,3.951,17.487000000000002
20.279,4.100333333,17.911
20.644333333,4.193666666,18.263
21.113666666,4.284333332999999,18.537666666
21.444333333,4.359,18.708333333
22.236333333,4.447,19.089666666
23.489666666,4.542999999999999,20.105666666
23.833666666,4.609666666,20.321666666
24.273666666,4.702999999999999,20.676333333
24.583,4.775,21.468333333
25.356333333,4.876333333,21.921666666
26.527,4.951,22.281666666
26.857666666,5.055,23.295
27.284333333,5.121666665999999,23.516333333
27.601666666,5.217666666,23.839
28.369666666,5.287,24.601666666
29.649666666,5.391,25.025666666
29.932333333,5.471,25.369666666
30.663,5.556333333,25.777666666
31.428333333,5.668333333,26.343
32.607,5.742999999999999,26.548333333
32.948333333,5.844333333,26.884333333
33.388333333,5.929666665999999,27.279
33.703,6.033666665999999,27.625666666
34.457666666,6.116333333,27.863
35.753666666,6.212333333,28.057666666
35.975,6.305666666,28.409666666
36.407,6.500333333,29.212333333
36.721666666,6.585666666,29.412333333
37.513666666,6.649666666,29.615
39.420333333,6.740333333,29.951
39.769666666,6.895,30.343
40.559,7.100333333,30.689666666
42.412333333,7.287,30.919
42.753666666,7.444333332999999,31.092333333
43.511,7.532333332999999,31.455
45.431,7.617666666,32.233666666
45.735,7.718999999999999,32.457666666
46.513666666,7.796333333,32.649666666
48.428333333,7.903,32.977666666
48.743,7.972333333,33.369666666
49.500333333,8.073666666000001,33.740333333
51.423,8.263,33.961666666
51.772333333,8.479000000000001,34.153666666
52.527,8.652333333000001,34.497666666
53.660333333,8.900333333,35.492333333
54.428333333,9.292333333,35.679
54.743,9.415,35.980333333
55.495,9.679,36.769666666
56.687,9.852333333,37.167
57.423,9.935,37.500333333
57.743,10.097666666,38.511
58.476333333,10.265666666,38.703
59.575,10.361666666,39.047
60.324333333,10.527,39.431
60.647,10.708333333,39.775
61.383,10.940333333,40.012333333
62.524333333,11.129666666,40.209666666
63.276333333,11.524333333,40.569666666
63.577666666,11.727,41.548333333
64.316333333,12.073666666,41.740333333
65.431,12.543,42.068333333
66.169666666,13.004333333,42.457666666
66.489666666,13.337666666,42.804333333
67.244333333,13.580333333,43.031
68.380333333,13.780333333,43.225666666
69.089666666,14.159,43.556333333
69.404333333,14.985666666,44.516333333
70.137666666,15.049666666,44.724333333
