Dun,J1,J2
11.847,9.513666666,10.513666666
11.996333333,9.703,11.089666666
12.183,9.809666666,11.417666666
12.532333333,9.935,11.772333333
12.753666667,10.100333333,11.999
13.100333333,10.215,12.377666666
13.313666667,10.345666666,12.569666666
13.649666667,10.505666666,12.908333333
14.028333333,10.847,13.103
14.231,11.081666666,13.452333333
14.604333333,11.231,13.649666666
14.951,11.407,14.228333333
15.495,12.001666666,14.572333333
15.841666667,12.369666666,14.753666666
16.204333333,12.569666666,15.129666666
16.388333333000002,12.769666666,15.305666666
16.932333333,13.084333333,15.636333333
17.463,13.303,15.841666666
17.673666667,13.652333333,16.183
18.025666667,14.201666666,16.396333333
18.548333333,14.271,16.729666666
19.100333333,14.417666666,16.921666666
19.612333333,14.559,17.257666666000002
19.828333333,14.623,17.444333333
20.185666667,14.759,17.801666666
20.708333333,14.935,17.999000000000002
21.255,15.116333333,18.361666666
21.783,15.265666666,18.556333333
21.999,15.489666666,18.887
22.353666667,15.644333333,19.079
22.881666667,15.713666666,19.417666666
23.407,15.807,19.596333333
23.916333333,15.887,19.945666666
23.993666667,16.012333333,20.143
24.148333333,16.361666666,20.692333333
24.303,16.740333333,21.039
24.471,16.929666666,21.252333333
24.556333333,17.113666666,21.761666666
24.703,17.460333333,22.105666666
24.865666667,17.836333333,22.329666666
25.041666667,18.001666666000002,22.860333333
25.439,18.191,23.196333333
25.772333333,18.535,23.388333333
26.329666667,18.913666666,23.732333333
26.668333333,19.063,23.929666666
27.017666667,19.271,24.273666666
27.220333333,19.609666666,24.487
27.561666667,19.988333333,24.833666666
27.932333333,20.156333333,25.052333333
28.236333333,20.356333333,25.375
28.460333333,20.689666666,25.577666666
28.628333333,21.076333333,25.900333333
28.793666667,21.241666666,26.095
29.012333333,21.436333333,26.457666666
29.175,21.761666666,26.649666666
29.369666667,22.156333333,27.012333333
29.748333333,22.324333333,27.207
30.249666667,22.527,27.537666666
30.441666667,22.852333333,27.724333333
30.612333333,23.247,28.095
30.788333333,23.415,28.268333333
31.020333333,23.612333333,28.612333333
31.335,23.959,28.804333333
31.535,24.148333333,29.148333333
31.873666667,24.465666666,29.340333333
32.252333333,24.673666666,29.697666666
32.799,25.033666666,29.895
33.151,25.244333333,30.281666666
33.497666667,25.407,30.433666666
33.708333333,25.572333333,30.796333333
34.065666667,25.769666666,30.972333333
34.412333333,26.100333333,31.348333333
34.935,26.311,31.540333333
35.273666667,26.644333333,31.876333333
35.615,26.857666666,32.065666666
35.812333333,27.025666666,32.447
36.353666667,27.196333333,32.601666666
36.871,27.385666666,32.964333333
37.079,27.559,33.145666666000004
37.441666667,27.732333333,33.513666666
37.964333333,27.921666666,33.697666666
38.511,28.257666666,34.031
39.017666667,28.481666666,34.209666666000004
39.231,28.799,34.580333333
39.601666667,29.164333333,34.748333333
40.135,29.337666666,35.081666666000004
40.671,29.409666666,35.265666666
41.201666667,30.644333333,35.612333333
41.404333333,30.708333333,35.791000000000004
41.756333333,30.799,36.145666666
42.308333333,30.873666666,36.327
42.860333333,30.985666666,36.689666666
43.377666667,31.159,36.865666666
43.577666667,31.335,37.223
43.919,31.516333333,37.417666666
44.460333333,32.801666666,37.764333333
44.993666667,33.137666666,37.964333333
45.524333333,33.380333333,38.316333333
45.737666667,33.532333333000004,38.505666666
46.084333333,33.671,38.839
46.623,33.751,39.039
47.161666667,33.876333333,39.361666666
47.692333333,34.009666666,39.569666666
47.897666667,34.079,39.903
48.247,34.217666666,40.105666666
48.828333333,34.372333333,40.455
49.340333333,34.436333333,40.649666666
49.857666667,34.559,40.993666666
50.071,34.700333333,41.199
50.223,34.769666666,41.540333333
50.383,34.924333333,41.753666666
50.465666667,35.084333333000004,42.100333333
50.601666667,35.151,42.303
50.759,35.244333333,42.657666666
50.943,35.327,42.852333333
51.321666667,35.457666666,43.193666666
51.657666667,36.159,43.388333333
52.191,36.343,43.724333333
52.524333333,36.511,43.916333333
52.852333333,36.593666666,44.252333333
53.063,36.679,44.447
53.415,36.764333333,44.783
53.759,36.881666666,44.980333333
54.297666667,37.076333333,45.337666666
54.649666667,37.236333333,45.527
54.985666667,37.316333333,45.879
55.180333333,37.401666666,46.065666666
55.489666667,37.476333333,46.423
55.844333333,37.617666666,46.631
56.377666667,37.796333333,46.977666666
56.711,37.964333333,47.153666666
57.028333333,38.039,47.521666666
57.231,38.124333333,47.705666666
57.900333333,38.199,48.060333333
58.567,38.337666666,48.249666666
58.713666667,38.511,48.607
58.897666667,38.676333333,48.812333333
59.217666667,38.751,49.132333333
59.897666667,38.839,49.319
60.524333333,38.921666666,49.687
60.668333333,39.009666666,49.879
60.855,39.084333333,50.225666666
61.159,39.175,50.425666666
61.345666667,39.255,50.769666666
61.823,39.332333333,50.969666666
62.431,39.407,51.292333333
62.583,39.553666666,51.473666666
62.756333333,40.092333333,51.815
63.084333333,40.484333333,52.012333333
63.705666667,40.676333333,52.335
64.335,40.860333333,52.516333333
64.473666667,41.201666666,53.071
64.649666667,41.583,53.391
64.967,41.745666666,53.593666666
65.716333333,41.937666666,54.100333333
66.068333333,42.300333333,54.452333333
66.649666667,42.644333333,54.631
66.82300000000001,42.833666666,55.159
67.415,43.033666666,55.508333333
67.991,43.353666666,55.697666666
68.135,43.569666666,56.164333333
68.303,43.908333333,56.489666666
68.604333333,44.100333333,56.681666666
69.204333333,44.441666666,57.212333333
69.751,44.647,57.532333333
69.892333333,44.809666666,57.708333333
70.057666667,44.983,58.199
70.311,45.177666666,58.532333333
70.481666667,45.513666666,58.700333333
70.929666667,45.740333333,59.212333333
71.465666667,46.065666666,59.527
71.607,46.444333333,59.713666666
71.772333333,46.612333333,60.185666666
72.057666667,46.692333333,60.343
72.617666667,47.228333333,60.508333333
73.164333333,47.892333333,60.679
73.287,47.964333333,61.143
73.444333333,48.052333333,61.449666666
73.721666667,48.135,61.636333333
74.375,48.257666666,62.105666666
74.689666667,48.609666666,62.417666666
75.239,48.775,62.583
75.375,49.313666666,63.057666666
76.025666667,50.103,63.364333333
76.295,50.420333333,63.535
76.831,50.641666666,64.00166666599999
76.975,50.775,64.316333333
77.631,50.937666666,64.487
77.889666667,51.025666666,64.945666666
78.415,51.145666666,65.252333333
78.535,51.305666666,65.415
78.689666667,51.447,65.865666666
78.929666667,51.529666666,66.17766666600001
79.095,51.668333333,66.345666666
79.721666667,51.833666666,66.788333333
79.983,51.975,67.100333333
80.132333333,52.049666666,67.260333333
80.748333333,52.183,67.69233333300001
81.033666667,52.348333333,67.991
81.524333333,52.511,68.151
81.673666667,52.585666666,68.583
82.191,52.892333333,68.751
82.671,53.079,68.871
82.793666667,53.415,69.028333333
82.95100000000001,53.588333333,69.463
83.20966666700001,53.761666666,69.751
83.724333333,53.833666666,69.908333333
84.199,53.919,70.337666666
84.316333333,53.996333333,70.612333333
84.465666667,54.105666666,70.759
84.719,54.297666666,71.188333333
85.201666667,54.457666666,71.468333333
85.580333333,54.628333333,71.633666666
85.812333333,54.817666666,72.044333333
86.039,55.161666666,72.321666666
86.169666667,55.495,72.471
86.623,55.673666666,72.889666666
86.991,55.855,73.148333333
87.223,56.185666666,73.297666666
87.447,56.527,73.705666666
87.577666667,56.692333333,73.961666666
88.004333333,57.055,74.108333333
88.348333333,57.209666666,74.516333333
88.575,57.377666666,74.788333333
88.783,57.553666666,74.935
88.905666667,58.052333333,75.345666666
89.321666667,58.223,75.617666666
89.551,58.401666666,75.761666666
89.964333333,58.553666666,76.161666666
90.188333333,58.708333333,76.417666666
90.601666667,59.068333333,76.561666666
90.820333333,59.220333333,76.940333333
91.228333333,59.396333333,77.217666666
91.457666667,59.553666666,77.361666666
91.855,59.889666666,77.745666666
92.071,60.047,78.025666666
92.465666667,60.199,78.159
92.703,60.369666666,78.540333333
93.124333333,60.521666666,78.801666666
93.455,60.671,78.945666666
94.004333333,60.841666666,79.321666666
94.449666667,61.007,79.585666666
94.815,61.161666666,79.716333333
95.041666667,61.329666666,80.103
95.247,61.487,80.367
95.377666667,61.788333333,80.503
95.839,61.953666666,80.889666666
96.169666667,62.113666666,81.135
96.409666667,62.287,81.276333333
96.625666667,62.439,81.657666666
96.753666667,62.585666666,81.916333333
97.308333333,62.753666666,82.055
97.548333333,62.924333333,82.425666666
97.967,63.076333333,82.673666666
98.087,63.239,82.799
98.295,63.396333333,83.196333333
98.639,63.727,83.447
98.860333333,63.868333333,83.583
99.076333333,64.020333333,83.945666666
99.289666667,64.183,84.201666666
99.420333333,64.332333333,84.332333333
99.953666667,64.489666666,84.700333333
100.199,64.641666666,84.961666666
100.623,64.799,85.087
100.743,64.953666666,85.428333333
100.961666667,65.108333333,85.652333333
101.297666667,65.271,85.785666666
101.513666667,65.572333333,86.009666666
101.727,65.727,86.159
101.919,65.876333333,86.388333333
102.052333333,66.041666666,86.508333333
102.471,66.327,86.751
102.799,66.508333333,86.876333333
103.025666667,66.772333333,87.105666666
103.233666667,66.863,87.212333333
103.361666667,67.220333333,87.43633333300001
103.772333333,67.69500000000001,87.551
104.108333333,67.924333333,87.775
104.316333333,68.151,87.892333333
104.521666667,68.452333333,88.111
104.655,68.596333333,88.231
105.057666667,68.745666666,88.43900000000001
105.388333333,68.897666666,88.543
105.607,69.191,88.764333333
105.799,69.321666666,88.876333333
105.932333333,69.481666666,89.105666666
106.337666667,69.628333333,89.209666666
106.660333333,69.772333333,89.428333333
106.884333333,69.905666666,89.529666666
107.084333333,70.057666666,89.740333333
107.215,70.223,89.852333333
107.617666667,70.359,90.071
107.927,70.508333333,90.177666666
108.145666667,70.641666666,90.380333333
108.353666667,70.924333333,90.489666666
108.487,71.04966666600001,90.703
108.919,71.196333333,90.807
109.252333333,71.353666666,91.004333333
109.457666667,71.468333333,91.111
109.665666667,71.612333333,91.321666666
109.791,71.756333333,91.428333333
110.207,71.903,91.623
110.521666667,72.041666666,91.737666666
110.719,72.18033333300001,91.953666666
110.919,72.329666666,92.065666666
111.039,72.601666666,92.263
111.364333333,72.740333333,92.383
111.676333333,72.881666666,92.593666666
111.791,73.033666666,92.708333333
112.009666667,73.153666666,92.895
112.321666667,73.295,93.017666666
112.652333333,73.588333333,93.228333333
112.948333333,73.724333333,93.329666666
113.063,73.860333333,93.543
113.265666667,73.993666666,93.665666666
113.572333333,74.289666666,93.895
113.956333333,74.409666666,94.015
114.268333333,74.545666666,94.215
114.468333333,74.687,94.343
114.660333333,74.809666666,94.564333333
114.777666667,74.940333333,94.660333333
115.177666667,75.081666666,94.884333333
115.476333333,75.217666666,95.001666666
115.681666667,75.351,95.249666666
115.855,75.633666666,95.359
115.977666667,75.764333333,95.596333333
116.351,75.903,95.708333333
116.561666667,76.033666666,95.959
116.940333333,76.164333333,96.057666666
117.151,76.30833333300001,96.279
117.511,76.431,96.388333333
117.713666667,76.561666666,96.609666666
118.073666667,76.697666666,96.724333333
118.284333333,76.825666666,96.956333333
118.636333333,76.967,97.060333333
118.839,77.233666666,97.300333333
119.180333333,77.372333333,97.399
119.396333333,77.508333333,97.625666666
119.777666667,77.631,97.729666666
120.063,77.759,97.961666666
120.596333333,77.900333333,98.073666666
120.996333333,78.017666666,98.303
121.289666667,78.148333333,98.417666666
121.503,78.284333333,98.641666666
121.703,78.415,98.748333333
121.825666667,78.548333333,98.972333333
122.295,78.815,99.068333333
122.513666667,78.940333333,99.297666666
123.031,79.081666666,99.417666666
123.417666667,79.201666666,99.636333333
123.516333333,79.332333333,99.743
123.719,79.471,99.980333333
124.228333333,79.591,100.084333333
124.609666667,79.721666666,100.289666666
124.721666667,79.849666666,100.396333333
124.908333333,79.972333333,100.623
125.412333333,80.105666666,100.740333333
125.895,80.311,100.953666666
126.108333333,80.511,101.060333333
126.612333333,80.644333333,101.276333333
127.012333333,80.767,101.380333333
127.300333333,80.903,101.585666666
127.487,81.271,101.692333333
127.673666667,81.409666666,101.924333333
127.791,81.524333333,102.017666666
128.17233333299998,81.668333333,102.247
128.44966666699997,81.873666666,102.348333333
128.647,82.041666666,102.575
128.817666667,82.17766666600001,102.681666666
128.93766666699997,82.297666666,102.887
129.31366666699998,82.43633333300001,103.004333333
129.580333333,82.575,103.220333333
129.77499999999998,82.689666666,103.335
130.068333333,82.804333333,103.553666666
130.42833333299998,82.943,103.660333333
130.721666667,83.060333333,103.879
130.91099999999997,83.191,103.983
131.19366666699997,83.399,104.193666666
