Dun,J1,J2
6.767,5.729666666,6.031
7.790999999999999,5.892333333,6.737666666
8.489666666,6.023,7.420333332999999
9.383,6.244333332999999,7.652333333
9.516333333,7.796333333,8.121666666000001
9.697666666,8.497666666,8.487
9.897666666,8.676333333,8.673666666
10.167,8.804333333,8.788333333
10.372333333,9.020333333,9.028333333
10.687,9.495,9.513666666
11.004333333,9.844333333,9.708333333
11.167,10.193666666,9.881666666
11.463,10.513666666,10.380333333
11.812333333,10.697666666,10.548333333
12.124333333,10.857666666,10.847
12.340333333,11.172333333,11.068333333
13.025666666,11.372333333,11.191
13.172333333,11.820333333,11.660333333
13.479,12.175,11.820333333
13.844333333,12.385666666,12.161666666
14.340333333,13.825666666,12.369666666
14.489666666,14.004333333,12.513666666
14.812333333,14.129666666,12.820333333
15.183,14.332333333,13.020333333
15.881666666,14.815,13.167
16.372333333,16.535,13.505666666
16.559,16.700333333,13.703
17.079,16.839000000000002,13.836333333
17.537666666,17.033666666000002,14.337666666
18.540333333,17.505666666,14.487
19.076333333,17.639,14.833666666
19.247,18.180333333,15.049666666
19.772333333,18.380333333,15.185666666
20.255,19.231,15.492333333
21.273666666,19.401666666,15.700333333
21.799,19.535,15.849666666
21.959,19.732333333,16.185666666
22.495,20.225666666,16.383
22.985666666,20.911,16.543
23.996333333,21.113666666,16.820333333
24.521666666,21.953666666,17.036333333
24.697666666,22.119,17.185666666
25.225666666,22.257666666,17.532333333
25.551,22.444333333,17.737666666
25.716333333,22.956333333,17.876333333
25.884333333,23.071,18.183
26.089666666,23.641666666,18.396333333
26.345666666,23.847,18.537666666
26.567,24.668333333,18.865666666
26.857666666,24.836333333,19.060333333
27.177666666,24.980333333,19.228333333
27.345666666,25.175,19.735
27.655,25.671,19.889666666
27.975,26.337666666,20.220333333
28.297666666,26.540333333,20.433666666
28.497666666,26.865666666,20.577666666
29.489666666,27.004333333,20.903
29.799,27.079,21.116333333
30.065666666,27.164333333,21.257666666
30.415,27.249666666,21.583
30.897666666,27.351,21.796333333
31.087,27.500333333,21.943
31.252333333,27.633666666,22.476333333
31.351,27.836333333,22.623
31.497666666,27.959,22.956333333
31.716333333,28.303,23.191
32.020333333,28.943,23.327
32.345666666,29.148333333,23.647
32.489666666,29.588333333,23.863
32.780333333,29.929666666,23.991
33.116333333,30.097666666,24.305666666
33.452333333,30.231,24.524333333
33.791000000000004,30.431,24.689666666
34.289666666,30.887,25.204333333
34.431,31.524333333,25.351
34.743,31.721666666,25.668333333
35.065666666,32.169666666,25.887
35.572333333,32.492333333,26.049666666
36.015,32.660333333000004,26.559
37.012333333,32.785666666,26.700333333
37.500333333,32.983000000000004,27.012333333
37.671,33.308333333,27.231
38.204333333,33.449666666,27.841666666
38.641666666,33.639,28.287
39.609666666,33.777666666,28.503
40.111,33.948333333,29.148333333
40.279,34.081666666000004,29.297666666
40.756333333,34.265666666,29.577666666
41.212333333,34.399,29.791
42.185666666,34.713666666,30.412333333
42.695,34.897666666,30.868333333
42.847,35.060333333,31.087
43.340333333,35.231,31.708333333
43.663,35.361666666,31.871
43.804333333,35.561666666,32.159
43.996333333,36.015,32.375
44.212333333,36.305666666,32.980333333
44.452333333,36.657666666,33.140333333
44.649666666,36.863,33.436333333
45.716333333,37.308333333,33.655
46.047,37.647,33.796333333
46.356333333,37.815,34.244333333
46.564333333,37.959,34.407000000000004
47.343,38.156333333,34.737666666
47.820333333,38.500333333,34.935
47.988333333,38.628333333,35.073666666
48.489666666,38.943,35.548333333
48.927,39.257666666,35.697666666
49.935,39.337666666,36.031
50.417666666,39.417666666,36.236333333
50.577666666,39.511,36.385666666
51.529666666,39.612333333,36.703
51.857666666,39.788333333,36.873666666
52.343,39.913666666,37.017666666
52.489666666,40.089666666,37.327
52.780333333,40.233666666,37.511
53.119,40.388333333,37.671
53.575,40.527,37.948333333
53.711,40.719,38.140333333
54.023,41.177666666,38.292333333
54.351,41.847,38.647
54.809666666,42.041666666,38.857666666
54.951,42.495,38.991
55.249666666,42.820333333,39.292333333
55.567,42.993666666,39.479
56.047,43.132333333,39.612333333
56.175,43.319,39.929666666
56.479,43.791,40.116333333
56.780333333,44.428333333,40.268333333
57.412333333,44.612333333,40.737666666
57.540333333,45.065666666,40.879
57.980333333,45.401666666,41.201666666
58.111,45.575,41.409666666
58.460333333,45.705666666,41.543
58.884333333,45.900333333,41.844333333
59.215,46.351,42.033666666
59.652333333,46.620333333,42.183
59.801666666,46.991,42.476333333
60.073666666,47.196333333,42.687
60.391,47.625666666,42.833666666
60.841666666,47.953666666,43.321666666
61.092333333,48.143,43.489666666
61.247,48.263,43.801666666
61.569666666,48.465666666,44.017666666
62.036333333,48.903,44.132333333
62.169666666,49.588333333,44.633666666
62.447,49.900333333,44.785666666
62.753666666,50.108333333,45.079
63.199,50.404333333,45.292333333
63.337666666,50.559,45.428333333
63.652333333,50.711,45.884333333
63.975,50.847,46.052333333
64.56700000000001,51.039,46.359
64.996333333,51.492333333,46.580333333
65.153666666,52.140333333,46.703
65.617666666,52.212333333,47.183
66.063,52.292333333,47.332333333
66.916333333,52.383,47.636333333
67.364333333,52.481666666,47.844333333
67.521666666,52.647,47.980333333
67.972333333,52.775,48.455
68.393666666,52.951,48.607
69.241666666,53.087,48.903
69.69500000000001,53.244333333,49.132333333
69.863,53.372333333,49.260333333
70.316333333,53.561666666,49.753666666
70.708333333,53.889666666,49.905666666
70.895,54.017666666,50.207
71.071,54.207,50.412333333
71.159,54.337666666,50.559
71.30566666600001,54.500333333,51.060333333
71.487,54.628333333,51.204333333
71.751,54.809666666,51.513666666
72.012333333,55.233666666,51.716333333
72.161666666,55.420333333,51.873666666
72.447,55.556333333,52.348333333
72.732333333,55.719,52.484333333
73.028333333,55.839,52.791
73.209666666,56.023,52.988333333
73.871,56.321666666,53.121666666
74.281666666,56.460333333,53.575
74.449666666,56.639,53.711
75.271,56.769666666,54.015
76.089666666,56.943,54.217666666
76.519,57.063,54.356333333
76.660333333,57.249666666,54.796333333
77.076333333,57.551,54.945666666
77.460333333,57.673666666,55.215
77.631,57.849666666,55.417666666
77.79366666600001,57.977666666,55.553666666
77.879,58.143,56.017666666
78.017666666,58.263,56.143
78.191,58.441666666,56.439
78.423,58.732333333,56.644333333
78.679,58.871,56.780333333
78.820333333,59.041666666,57.241666666
79.068333333,59.177666666,57.372333333
79.337666666,59.345666666,57.655
79.604333333,59.463,57.855
79.775,59.641666666,57.988333333
80.393666666,59.935,58.439
80.785666666,60.060333333,58.569666666
80.935,60.236333333,58.865666666
81.332333333,60.369666666,59.063
81.735,60.532333333,59.185666666
82.519,60.657666666,59.644333333
82.940333333,60.841666666,59.801666666
83.071,61.145666666,60.057666666
83.457666666,61.268333333,60.260333333
83.799,61.436333333,60.385666666
83.967,61.564333333,60.823
84.103,61.641666666,60.959
84.188333333,61.737666666,61.255
84.340333333,61.841666666,61.444333333
84.497666666,61.916333333,61.577666666
84.721666666,62.031,62.028333333
84.959,62.143,62.169666666
85.18033333300001,62.225666666,62.439
85.884333333,62.316333333,62.631
86.775,62.423,62.753666666
86.887,62.500333333,63.225666666
87.041666666,62.639,63.356333333
87.233666666,62.772333333,63.639
87.916333333,62.927,63.841666666
88.401666666,63.049666666,63.964333333
88.553666666,63.233666666,64.820333333
88.788333333,63.639,64.999
89.039,63.812333333,65.156333333
89.273666666,63.945666666,65.609666666
89.932333333,64.111,65.735
90.777666666,64.236333333,66.017666666
90.892333333,64.412333333,66.217666666
91.041666666,64.529666666,66.340333333
91.908333333,64.831,66.791
92.769666666,65.004333333,66.919
92.887,65.145666666,67.196333333
93.033666666,65.292333333,67.388333333
93.844333333,65.412333333,67.535
94.100333333,65.593666666,67.964333333
94.497666666,66.023,68.087
94.604333333,66.204333333,68.377666666
94.828333333,66.623,68.575
95.092333333,67.119,68.69500000000001
95.452333333,67.364333333,68.956333333
95.572333333,67.532333333,69.137666666
95.812333333,67.764333333,69.289666666
96.060333333,67.948333333,69.543
96.412333333,68.372333333,69.727
96.519,68.433666666,69.868333333
96.743,68.69233333300001,70.119
97.015,68.975,70.297666666
97.364333333,69.161666666,70.444333333
97.484333333,69.273666666,70.711
97.711,69.545666666,70.900333333
97.972333333,69.852333333,71.028333333
98.297666666,70.119,71.287
98.423,70.311,71.471
98.657666666,70.719,71.607
98.916333333,71.004333333,71.868333333
99.257666666,71.289666666,72.041666666
99.476333333,71.479,72.18033333300001
99.609666666,71.871,72.412333333
99.828333333,72.161666666,72.593666666
100.169666666,72.428333333,72.729666666
100.289666666,72.607,72.999
100.516333333,73.001666666,73.18033333300001
100.767,73.289666666,73.313666666
101.433666666,73.572333333,73.553666666
101.703,73.759,73.743
102.175,74.124333333,73.865666666
102.503,74.412333333,74.129666666
102.639,74.689666666,74.311
103.348333333,74.871,74.43900000000001
104.055,75.241666666,74.668333333
104.388333333,75.519,74.852333333
104.508333333,75.799,74.977666666
105.204333333,75.977666666,75.244333333
105.921666666,76.345666666,75.428333333
106.263,76.609666666,75.551
106.388333333,76.908333333,75.785666666
106.719,77.087,75.967
106.943,77.465666666,76.089666666
107.044333333,77.623,76.345666666
107.188333333,77.753666666,76.527
107.340333333,77.903,76.660333333
107.516333333,78.009666666,76.889666666
107.671,78.175,77.073666666
107.873666666,78.535,77.201666666
107.991,78.681666666,77.468333333
108.124333333,78.815,77.644333333
