Dun,J1,J2
8.567,7.444333332999999,0.303
9.703,7.785666666,9.665666666
10.052333333,8.020333333,10.004333333
10.572333333,8.321666666,10.249666666
11.100333333,8.556333333000001,10.535
11.479,8.879000000000001,10.772333333
11.879,9.124333333,11.108333333
12.220333333,9.689666666,11.351
12.732333333,10.001666666,11.679
13.287,10.233666666,11.913666666
13.684333333,10.380333333,12.228333333
14.084333333,10.580333333,12.479
14.401666666,10.956333333,12.772333333
14.927,11.113666666,13.004333333
15.457666666,11.343,13.308333333
15.849666666,11.484333333,13.559
16.260333333000002,11.679,13.857666666
16.567,11.903,14.092333333
17.105666666,12.212333333,14.399
17.631,12.433666666,14.644333333
18.020333333,12.572333333,14.945666666
18.436333333,12.767,15.177666666
18.767,13.140333333,15.489666666
19.319,13.305666666,15.713666666
19.871,13.535,15.993666666
20.257666666,13.665666666,16.239
20.663,13.759,16.545666666
20.996333333,13.860333333,16.799
21.553666666,13.980333333,17.108333333
22.092333333,14.073666666,17.343
22.468333333,14.209666666,17.676333333000002
22.881666666,14.393666666,17.919
23.212333333,14.612333333,18.220333333
23.777666666,14.764333333,18.455
24.356333333,14.956333333,18.761666666
24.727,15.140333333,19.007
25.159,15.311,19.305666666
25.484333333,15.484333333,19.564333333
26.031,15.708333333,19.892333333
26.596333333,16.012333333,20.129666666
26.993666666,16.225666666000002,20.428333333
27.407,16.377666666,20.668333333
27.748333333,16.577666666,20.991
28.313666666,16.817666666,21.255
28.857666666,16.943,21.561666666
29.247,17.087,21.801666666
29.657666666,17.329666666,22.129666666
30.007,17.649666666,22.377666666
30.529666666,17.871000000000002,22.681666666
31.113666666,18.025666666,22.916333333
31.500333333,18.209666666,23.236333333
31.916333333,18.423,23.487
32.252333333,18.596333333,23.817666666
32.820333333,18.777666666,24.052333333
33.364333333,19.023,24.356333333
33.745666666,19.161666666,24.607
34.177666666,19.321666666,24.937666666
34.495,19.561666666,25.164333333
35.033666666,19.719,25.476333333
35.604333333,19.863,25.737666666
35.983000000000004,20.103,26.047
36.404333333,20.249666666,26.316333333
36.719,20.452333333,26.633666666
37.279,20.660333333,26.863
37.836333333,20.804333333,27.199
38.201666666,20.999,27.433666666
38.636333333,21.236333333,27.740333333
38.959,21.388333333,27.991
39.513666666,21.545666666,28.305666666
40.073666666,21.777666666,28.553666666
40.433666666,22.100333333,28.871
40.847,22.324333333,29.132333333
41.175,22.468333333,29.452333333
41.724333333,22.575,29.689666666
