Dun,J1,J2
10.188333333,8.292333333,9.980333333
10.383,8.489666666,10.201666666
10.735,8.636333333000001,10.375
11.095,8.831000000000001,10.751
11.297666666,8.996333333,11.087
11.625666666,9.185666666,11.295
11.975,9.327,11.444333333
12.332333333,9.396333333,11.812333333
12.511,9.532333333,12.151
12.895,9.697666666,12.364333333
13.244333333,9.833666666,12.519
13.444333333,9.911,12.884333333
13.809666666,10.028333333,13.225666666
14.148333333,10.364333333,13.452333333
14.521666666,10.740333333,13.593666666
14.711,10.868333333,13.988333333
15.092333333,11.273666666,14.345666666
15.463,11.500333333,14.713666666
15.655,11.633666666,15.097666666
15.980333333,11.823,15.447
16.345666666,11.959,15.663
16.708333333000002,12.153666666,15.801666666
16.900333333,12.337666666,16.196333333000002
17.263,12.492333333,16.548333333000002
17.631,12.684333333,16.764333333
17.817666666,12.897666666,16.919
18.183,13.036333333,17.284333333
18.540333333,13.233666666,17.615000000000002
18.905666666,13.415,17.839000000000002
19.092333333,13.644333333,17.985666666
19.452333333,13.801666666,18.396333333
19.825666666,13.993666666,18.727
20.015,14.148333333,18.929666666
20.359,14.348333333,19.079
20.721666666,14.532333333,19.457666666
21.063,14.692333333,19.785666666
21.255,14.879,20.012333333
21.628333333,15.095,20.156333333
21.980333333,15.436333333,20.569666666
22.177666666,15.628333333,20.903
22.524333333,15.769666666,21.119
22.863,15.860333333,21.271
23.209666666,15.991,21.644333333
23.388333333,16.185666666,21.988333333
23.769666666,16.343,22.199
24.119,16.537666666,22.343
24.308333333,16.713666666,22.743
24.657666666,16.881666666,23.063
24.991,17.065666666000002,23.279
25.329666666,17.287,23.428333333
25.511,17.431,23.796333333
25.905666666,17.625666666,24.145666666
26.239,17.801666666,24.356333333
26.433666666,18.057666666,24.495
26.785666666,18.180333333,24.879
27.132333333,18.484333333,25.196333333
27.479,18.577666666,25.401666666
27.668333333,19.268333333,25.545666666
28.044333333,19.476333333,25.900333333
28.372333333,20.527,26.228333333
28.564333333,20.676333333,26.439
28.921666666,20.764333333,26.580333333
29.265666666,20.892333333,26.975
29.636333333,21.241666666,27.319
29.836333333,21.444333333,27.524333333
30.217666666,21.636333333,27.684333333
30.588333333,21.761666666,28.044333333
30.777666666,21.865666666,28.380333333
31.196333333,21.975,28.575
31.519,22.169666666,28.708333333
31.892333333,22.319,29.108333333
32.076333333,22.513666666,29.455
32.479,22.713666666,29.673666666
32.855000000000004,22.844333333,29.833666666
33.047,22.937666666,30.223
33.407000000000004,23.049666666,30.612333333
33.740333333,23.231,30.820333333
34.103,23.393666666,30.975
34.289666666,23.585666666,31.383
34.663000000000004,23.769666666,31.732333333
35.036333333,23.895,31.932333333
35.231,23.999,32.092333333
35.585666666,24.105666666,32.489666666
35.929666666,24.300333333,32.844333333
36.287,24.452333333,33.055
36.481666666,24.644333333,33.196333333
36.852333333,24.959,33.599000000000004
37.212333333,25.068333333,33.945666666
37.407,25.169666666,34.148333333000004
37.748333333,25.697666666,34.297666666
38.079,25.913666666,34.673666666
38.417666666,27.820333333,35.015
38.607,28.015,35.231
38.991,28.105666666,35.380333333
39.335,28.191,35.748333333
39.513666666,28.273666666,36.111
39.839,28.367,36.327
40.175,28.447,36.463
40.537666666,28.535,36.873666666
40.716333333,28.615,37.185666666
41.092333333,28.692333333,37.412333333
41.447,29.108333333,37.540333333
41.641666666,29.223,37.932333333
42.004333333,29.457666666,38.265666666
42.340333333,29.996333333,38.473666666
42.689666666,30.225666666,38.623
42.849666666,30.609666666,38.999
43.068333333,30.924333333,39.327
43.377666666,31.012333333,39.521666666
43.476333333,31.159,39.657666666
43.767,31.356333333,40.057666666
43.903,31.500333333,40.377666666
44.127,31.593666666,40.585666666
44.431,31.711,40.724333333
44.532333333,32.057666666,41.100333333
44.817666666,32.265666666,41.460333333
44.999,32.473666666,41.668333333
45.356333333,32.593666666,41.815
45.743,32.825666666000004,42.209666666
45.924333333,33.164333333,42.524333333
46.281666666,33.380333333,42.729666666
46.623,33.588333333,42.873666666
46.985666666,33.711,43.247
47.177666666,33.817666666,43.553666666
47.564333333,33.929666666,43.772333333
47.951,34.119,43.903
48.143,34.263,44.313666666
48.508333333,34.473666666,44.641666666
48.849666666,34.684333333,44.852333333
49.212333333,34.804333333,44.996333333
49.401666666,35.031,45.391
49.793666666,35.231,45.735
50.153666666,35.359,45.940333333
50.361666666,35.567,46.084333333
50.727,35.761666666,46.484333333
51.076333333,35.889666666000004,46.809666666
51.433666666,35.988333333,47.031
51.633666666,36.089666666,47.185666666
52.007,36.289666666,47.564333333
52.367,36.431,47.921666666
52.561666666,36.639,48.135
52.959,36.844333333,48.279
53.289666666,36.967,48.671
53.657666666,37.196333333,49.033666666
53.844333333,37.396333333,49.260333333
54.223,37.529666666,49.404333333
54.559,37.737666666,49.804333333
54.737666666,37.921666666,50.159
55.087,38.052333333,50.377666666
55.420333333,38.145666666,50.524333333
55.775,38.265666666,50.924333333
55.969666666,38.599,51.268333333
56.353666666,38.737666666,51.479
56.692333333,38.807,51.625666666
56.876333333,38.969666666,52.020333333
57.244333333,39.100333333,52.377666666
57.575,39.172333333,52.607
57.924333333,39.311,52.737666666
58.116333333,39.492333333,53.137666666
58.508333333,39.652333333,53.471
58.860333333,39.820333333,53.695
59.041666666,39.887,53.820333333
59.399,40.036333333,54.217666666
59.705666666,40.172333333,54.556333333
60.060333333,40.252333333,54.764333333
60.249666666,40.367,54.889666666
