Dun,J1,J2
14.628333333,0.260333333,14.887
15.063,0.543,15.097666666
15.359,0.825666666,15.348333333
15.775,3.2390000000000003,15.484333333
16.089666666,3.500333333,15.793666666
16.644333333000002,3.575,16.044333333
16.961666666,3.884333333,16.257666666000002
17.399,12.271,16.545666666
17.703,12.540333333,16.655
18.132333333,12.756333333,16.951
18.423,13.025666666,17.204333333
18.991,13.292333333,17.444333333
19.297666666,13.460333333,17.692333333
19.740333333,13.727,17.817666666
20.036333333,13.905666666,18.135
20.436333333,14.017666666,18.404333333
20.737666666,14.199,18.615
21.281666666,14.308333333,18.865666666
21.601666666,14.593666666,18.988333333
22.039,15.065666666,19.308333333
22.329666666,15.383,19.567
22.748333333,15.497666666,19.775
23.031,15.777666666,20.031
23.593666666,16.065666666000002,20.151
23.892333333,16.255,20.468333333
24.348333333,16.348333333,20.735
24.639,16.532333333,20.929666666
25.047,16.652333333,21.172333333
25.324333333,16.791,21.297666666
26.193666666,16.943,21.609666666
26.652333333,17.191,21.868333333
26.927,17.407,22.079
27.343,17.700333333,22.319
27.628333333,17.817666666,22.436333333
28.193666666,18.113666666,22.743
28.508333333,18.684333333,23.007
28.945666666,18.785666666,23.207
29.228333333,18.884333333,23.463
29.657666666,18.999,23.577666666
29.940333333,19.164333333,23.887
30.505666666,19.279,24.143
30.799,19.436333333,24.353666666
31.249666666,19.719,24.601666666
31.532333333,20.015,24.724333333
31.937666666,20.441666666,25.036333333
32.209666666000004,20.911,25.313666666
32.775,21.017666666,25.532333333
33.060333333,21.199,25.791
33.508333333,21.588333333,25.908333333
33.812333333,22.039,26.233666666
34.212333333000004,22.143,26.473666666
34.476333333,22.335,26.684333333
35.044333333,22.436333333,26.927
35.343,22.724333333,27.052333333
35.777666666,23.007,27.351
36.036333333,23.188333333,27.612333333
36.441666666,23.295,27.825666666
36.703,23.479,28.087
37.260333333,23.588333333,28.191
37.559,23.881666666,28.489666666
37.991,24.332333333,28.729666666
38.263,24.441666666,28.964333333
38.673666666,24.633666666,29.201666666
38.943,24.748333333,29.353666666
39.521666666,25.036333333,29.652333333
39.796333333,25.305666666,29.924333333
40.036333333,25.500333333,30.135
40.233666666,25.604333333,30.404333333
40.631,25.793666666,30.505666666
40.809666666,25.903,30.791
41.223,26.191,31.060333333
41.644333333,26.641666666,31.273666666
42.033666666,26.751,31.537666666
42.444333333,26.935,31.660333333
42.729666666,27.225666666,31.967
43.113666666,27.337666666,32.231
43.396333333,27.500333333,32.423
43.681666666,27.612333333,32.687
44.252333333,27.809666666,32.796333333
44.676333333,27.897666666,33.084333333000004
44.932333333,28.087,33.348333333
45.345666666,28.335,33.535000000000004
45.612333333,28.503,33.777666666
46.188333333,28.743,33.903
46.473666666,28.953666666,34.193666666
46.900333333,29.735,34.468333333000004
47.161666666,29.823,34.671
47.553666666,29.911,34.927
47.825666666,30.009666666,35.036333333
48.412333333,30.100333333,35.319
48.687,30.207,35.564333333
49.108333333,30.287,35.791000000000004
49.383,31.913666666,36.017666666000004
49.772333333,32.103,36.148333333
50.065666666,32.481666666,36.447
50.623,32.668333333,36.679
50.900333333,33.049666666,36.897666666
51.300333333,33.228333333,37.151
51.572333333,33.519,37.279
51.975,33.623,37.567
52.236333333,33.801666666,37.825666666
52.793666666,33.905666666,38.036333333
53.076333333,34.185666666,38.295
53.487,34.359,38.412333333
53.764333333,34.652333333,38.689666666
54.164333333,34.751,38.943
54.428333333,34.927,39.140333333
54.959,35.028333333,39.420333333
55.257666666,35.311,39.521666666
55.668333333,35.484333333,39.804333333
55.929666666,35.764333333,40.028333333
56.335,35.871,40.236333333
56.604333333,36.039,40.513666666
57.113666666,36.161666666,40.647
57.401666666,36.335,40.929666666
57.828333333,36.455,41.167
58.089666666,36.593666666,41.372333333
58.479,36.727,41.639
58.737666666,36.881666666,41.753666666
59.273666666,36.985666666,42.036333333
59.567,37.167,42.305666666
59.967,37.271,42.508333333
60.231,37.551,42.751
60.628333333,37.825666666,42.868333333
60.892333333,38.007,43.153666666
61.409666666,38.273666666,43.407
61.700333333,38.399,43.599
62.108333333,38.668333333,43.844333333
62.369666666,38.764333333,43.961666666
62.769666666,38.852333333,44.249666666
63.044333333,38.956333333,44.487
63.572333333,39.124333333,44.695
63.855,39.316333333,44.951
64.239,39.500333333,45.063
64.511,39.681666666,45.340333333
64.892333333,39.908333333,45.599
65.161666666,40.049666666,45.799
65.679,40.236333333,46.065666666
65.972333333,41.465666666,46.172333333
66.369666666,41.740333333,46.463
66.631,42.036333333,46.705666666
67.017666666,42.479,46.913666666
67.279,42.580333333,47.169666666
67.807,42.849666666,47.289666666
68.087,43.145666666,47.575
68.481666666,43.393666666,47.833666666
68.748333333,43.591,48.033666666
69.132333333,43.689666666,48.279
69.391,43.956333333,48.385666666
69.911,44.247,48.673666666
70.201666666,44.495,48.924333333
70.596333333,44.692333333,49.124333333
70.852333333,44.788333333,49.391
71.239,45.076333333,49.503
71.492333333,45.340333333,49.793666666
72.007,45.604333333,50.039
72.321666666,45.801666666,50.244333333
72.711,45.892333333,50.516333333
72.969666666,46.167,50.612333333
73.361666666,46.591,50.897666666
73.623,46.673666666,51.135
74.153666666,46.748333333,51.335
74.43900000000001,46.892333333,51.591
74.841666666,46.964333333,51.705666666
75.111,47.047,52.001666666
75.503,47.175,52.236333333
75.785666666,47.356333333,52.431
76.332333333,47.548333333,52.684333333
76.620333333,47.631,52.783
77.028333333,47.823,53.065666666
77.287,47.905666666,53.287
77.687,48.084333333,53.511
77.964333333,48.164333333,53.775
78.495,48.375,53.879
78.777666666,48.457666666,54.164333333
79.196333333,48.553666666,54.409666666
79.481666666,48.647,54.601666666
79.865666666,48.737666666,54.863
80.143,48.820333333,54.953666666
80.660333333,49.103,55.239
80.953666666,49.383,55.497666666
81.383,49.660333333,55.697666666
81.652333333,49.932333333,55.953666666
82.041666666,50.327,56.057666666
82.30566666600001,50.591,56.332333333
82.812333333,50.684333333,56.575
83.100333333,50.785666666,56.769666666
83.508333333,50.887,57.015
83.788333333,51.023,57.116333333
84.18033333300001,51.297666666,57.388333333
84.449666666,51.572333333,57.639
84.977666666,51.967,57.836333333
85.279,52.145666666,58.084333333
85.708333333,52.500333333,58.188333333
85.977666666,52.679,58.457666666
86.377666666,53.055,58.721666666
86.633666666,53.223,58.919
87.175,53.505666666,59.172333333
87.479,53.601666666,59.276333333
87.887,53.767,59.548333333
88.153666666,54.047,59.780333333
88.545666666,54.145666666,59.985666666
88.799,54.321666666,60.220333333
89.343,54.588333333,60.340333333
89.623,54.692333333,60.607
90.009666666,54.860333333,60.852333333
90.268333333,55.084333333,61.049666666
90.671,55.249666666,61.295
90.927,55.468333333,61.409666666
91.428333333,55.671,61.684333333
91.737666666,55.927,61.916333333
92.137666666,56.052333333,62.119
92.393666666,56.231,62.364333333
92.799,56.327,62.481666666
93.039,56.580333333,62.759
93.545666666,56.769666666,62.993666666
93.836333333,56.863,63.201666666
94.220333333,57.025666666,63.455
94.481666666,57.129666666,63.564333333
94.873666666,57.308333333,63.841666666
95.135,57.409666666,64.092333333
95.641666666,57.639,64.289666666
95.927,57.825666666,64.521666666
96.321666666,57.927,64.628333333
96.561666666,58.089666666,64.903
96.929666666,58.201666666,65.143
97.196333333,58.377666666,65.337666666
97.713666666,58.471,65.56700000000001
97.991,58.719,65.681666666
98.385666666,58.900333333,65.961666666
98.628333333,59.001666666,66.183
99.007,59.159,66.380333333
99.265666666,59.415,66.628333333
99.769666666,59.553666666,66.743
100.049666666,59.684333333,67.020333333
100.439,59.804333333,67.268333333
100.700333333,59.980333333,67.463
101.057666666,60.073666666,67.703
101.316333333,60.244333333,67.809666666
101.823,60.348333333,68.071
102.103,60.529666666,68.300333333
102.463,60.617666666,68.505666666
102.719,60.863,68.729666666
103.108333333,61.047,68.847
103.364333333,61.140333333,69.113666666
103.868333333,61.308333333,69.367
104.156333333,61.593666666,69.559
104.511,61.689666666,69.804333333
104.756333333,61.929666666,69.911
105.127,62.113666666,70.18033333300001
105.361666666,62.217666666,70.423
105.865666666,62.375,70.623
106.140333333,62.487,70.855
106.479,62.668333333,70.972333333
106.705666666,62.756333333,71.255
107.025666666,63.004333333,71.487
107.241666666,63.185666666,71.673666666
107.676333333,63.284333333,71.913666666
107.916333333,63.441666666,72.015
108.236333333,63.708333333,72.289666666
108.452333333,63.799,72.537666666
108.764333333,63.887,72.729666666
108.969666666,63.977666666,72.975
109.388333333,64.073666666,73.087
109.631,64.148333333,73.375
109.935,64.249666666,73.617666666
110.135,64.337666666,73.799
110.449666666,64.417666666,74.047
110.652333333,64.511,74.145666666
111.041666666,64.609666666,74.417666666
111.276333333,64.679,74.663
111.577666666,64.777666666,74.863
111.775,64.868333333,75.113666666
112.076333333,64.948333333,75.233666666
112.273666666,65.044333333,75.503
112.636333333,65.137666666,75.751
112.892333333,65.207,75.953666666
113.172333333,65.30566666600001,76.207
113.361666666,65.391,76.30833333300001
113.657666666,65.471,76.593666666
113.849666666,65.56433333300001,76.841666666
114.239,65.657666666,77.055
114.457666666,65.729666666,77.300333333
114.732333333,65.833666666,77.415
114.927,65.937666666,77.69233333300001
115.207,66.084333333,77.905666666
115.399,66.188333333,78.127
115.783,66.372333333,78.367
116.007,66.463,78.484333333
116.260333333,66.631,78.783
116.452333333,66.916333333,79.028333333
116.724333333,67.007,79.228333333
116.916333333,67.252333333,79.468333333
117.271,67.43633333300001,79.583
117.500333333,67.529666666,79.873666666
117.761666666,67.687,80.119
117.927,67.967,80.313666666
118.204333333,68.060333333,80.559
118.388333333,68.236333333,80.671
118.764333333,68.473666666,80.948333333
118.969666666,68.631,81.196333333
119.225666666,68.849666666,81.399
119.404333333,69.036333333,81.652333333
119.679,69.255,81.769666666
119.860333333,69.420333333,82.047
120.207,69.631,82.273666666
120.431,69.812333333,82.468333333
120.681666666,70.025666666,82.711
120.860333333,70.199,82.828333333
121.145666666,70.407,83.103
121.332333333,70.612333333,83.343
121.689666666,70.847,83.540333333
121.913666666,70.999,83.796333333
122.183,71.220333333,83.913666666
122.359,71.391,84.185666666
122.639,71.737666666,84.409666666
122.831,71.836333333,84.607
123.185666666,71.927,84.863
123.428333333,72.033666666,84.975
123.679,72.172333333,85.265666666
123.863,72.425666666,85.489666666
124.153666666,72.69500000000001,85.700333333
124.345666666,72.945666666,85.959
124.721666666,73.188333333,86.087
124.935,73.265666666,86.369666666
125.183,73.348333333,86.625666666
125.375,73.468333333,86.828333333
125.652333333,73.593666666,87.073666666
125.831,73.743,87.183
126.215,73.860333333,87.481666666
126.420333333,74.041666666,87.716333333
126.673666666,74.143,87.905666666
126.844333333,74.415,88.156333333
127.121666666,74.663,88.271
127.297666666,74.849666666,88.543
127.628333333,75.135,88.804333333
127.857666666,75.236333333,88.977666666
128.119,75.503,89.217666666
128.295,75.940333333,89.329666666
128.572333333,76.041666666,89.596333333
128.75099999999998,76.223,89.825666666
129.313666666,76.329666666,90.036333333
129.577666666,76.593666666,90.281666666
129.756333333,76.847,90.404333333
130.039,77.028333333,90.684333333
130.217666666,77.111,90.905666666
130.54299999999998,77.404333333,91.097666666
130.761666666,77.697666666,91.377666666
131.012333333,77.948333333,91.471
131.18566666599995,78.129666666,91.743
131.457666666,78.220333333,91.951
131.63899999999998,78.393666666,92.156333333
132.156333333,78.489666666,92.401666666
132.42033333299997,78.556333333,92.511
132.593666666,78.780333333,92.772333333
132.860333333,79.020333333,93.012333333
133.036333333,79.199,93.212333333
133.348333333,79.30833333300001,93.465666666
133.58566666599998,79.43633333300001,93.559
133.825666666,79.569666666,93.833666666
133.999,79.868333333,94.052333333
134.276333333,80.111,94.265666666
134.44699999999995,80.295,94.495
134.98299999999998,80.391,94.585666666
135.23366666599998,80.556333333,94.855
135.40166666599998,80.657666666,95.087
135.67899999999997,80.719,95.287
135.849666666,80.95100000000001,95.527
136.391,81.191,95.628333333
136.65233333299997,81.375,95.911
136.82033333299998,81.743,96.124333333
137.089666666,82.023,96.329666666
137.26033333299998,82.119,96.569666666
137.580333333,82.209666666,96.681666666
137.801666666,82.313666666,96.940333333
138.05233333299998,82.465666666,97.180333333
138.220333333,82.668333333,97.375
138.484333333,82.836333333,97.617666666
138.64966666599997,83.084333333,97.708333333
139.19366666599998,83.329666666,97.972333333
139.43099999999998,83.511,98.204333333
139.607,83.871,98.399
139.849666666,83.967,98.639
140.020333333,84.065666666,98.740333333
140.559,84.169666666,99.004333333
140.780333333,84.313666666,99.231
140.95633333299998,84.708333333,99.433666666
141.20966666599998,84.879,99.673666666
141.38299999999998,84.991,99.769666666
141.90566666599997,85.252333333,100.033666666
142.14033333299997,85.516333333,100.263
142.30833333299998,85.697666666,100.460333333
142.56699999999998,85.783,100.700333333
142.729666666,86.079,100.799
143.23633333299998,86.353666666,101.063
143.481666666,86.625666666,101.287
143.63633333299998,86.809666666,101.481666666
143.900333333,86.908333333,101.732333333
144.063,87.076333333,101.825666666
144.369666666,87.460333333,102.084333333
144.580333333,87.625666666,102.305666666
144.812333333,87.897666666,102.508333333
144.98033333299998,87.991,102.745666666
145.231,88.159,102.849666666
145.39633333299997,88.524333333,103.113666666
145.689666666,88.689666666,103.324333333
145.91099999999997,89.055,103.524333333
146.14833333299998,89.223,103.767
146.319,89.449666666,103.865666666
146.572333333,89.609666666,104.127
146.740333333,89.828333333,104.348333333
147.271,90.025666666,104.540333333
147.51633333299998,90.260333333,104.777666666
147.68433333299998,90.364333333,104.871
147.95366666599998,90.647,105.132333333
148.12166666599998,90.900333333,105.353666666
148.412333333,91.079,105.527
148.647,91.180333333,105.761666666
148.900333333,91.343,105.857666666
149.060333333,91.455,106.103
149.324333333,91.724333333,106.313666666
149.497666666,91.967,106.487
149.79899999999998,92.140333333,106.692333333
150.03099999999998,92.244333333,106.796333333
150.289666666,92.409666666,107.028333333
150.553666666,92.780333333,107.233666666
150.812333333,93.028333333,107.391
