Dun,J1,J2
20.607,34.399,22.399
21.175,34.673666666,22.631
21.516333333,34.929666666,23.124333333
22.023,35.159,23.817666666
22.375,35.487,24.055
23.487,35.647,24.441666666
24.039,35.951,24.553666666
24.369666666,36.191,25.260333333
24.897666666,36.484333333,25.489666666
25.260333333,36.649666666,25.847
26.353666666,37.004333333,25.991
26.932333333,37.223,26.679
27.257666666,37.703,26.927
27.772333333,37.916333333,27.420333333
28.127,38.260333333,28.121666666
29.201666666,38.380333333,28.351
29.793666666,38.607,28.836333333
30.111,39.073666666,29.519
30.612333333,39.305666666,29.764333333
30.983,39.412333333,30.263
32.076333333,39.644333333,30.972333333
32.655,39.737666666,31.209666666
32.969666666,39.959,31.567
33.492333333,40.417666666,31.700333333
33.865666666,40.641666666,32.401666666000004
34.940333333,40.745666666,32.636333333
35.473666666,40.983,33.140333333
35.788333333,41.079,33.852333333
36.284333333,41.303,34.076333333
36.636333333,41.775,34.452333333
37.703,42.001666666,34.569666666
38.279,42.108333333,35.260333333
38.588333333,42.340333333,35.497666666
39.076333333,42.436333333,35.857666666
39.423,42.660333333,35.983000000000004
40.455,43.103,36.649666666
40.969666666,43.329666666,36.876333333
41.289666666,43.772333333,37.364333333
41.769666666,43.983,38.041666666
42.119,44.207,38.271
43.127,44.428333333,38.753666666
43.663,44.649666666,39.401666666
43.972333333,44.753666666,39.631
44.452333333,44.980333333,40.103
44.775,45.087,40.756333333
45.785666666,45.311,40.993666666
46.319,45.993666666,41.353666666
46.628333333,46.100333333,41.463
47.129666666,46.209666666,42.100333333
47.460333333,46.335,42.327
48.468333333,46.452333333,42.668333333
49.025666666,46.660333333,42.791
49.361666666,46.884333333,43.428333333
49.849666666,47.116333333,43.657666666
50.207,47.337666666,44.031
51.209666666,47.535,44.137666666
51.748333333,47.777666666,44.764333333
52.071,48.012333333,44.977666666
52.556333333,49.524333333,45.319
52.900333333,49.623,45.449666666
53.897666666,49.748333333,46.097666666
54.417666666,49.868333333,46.337666666
54.743,50.079,46.689666666
55.207,50.193666666,46.815
55.545666666,50.417666666,47.455
56.543,50.524333333,47.679
57.057666666,50.732333333,48.017666666
57.364333333,50.855,48.135
57.852333333,51.039,48.796333333
58.183,51.209666666,49.041666666
59.151,51.383,49.399
59.681666666,52.439,49.519
59.993666666,52.561666666,50.185666666
60.447,52.780333333,50.412333333
60.777666666,52.884333333,50.761666666
61.767,53.103,50.884333333
62.329666666,53.199,51.511
62.663,53.415,51.743
63.124333333,53.879,52.100333333
63.473666666,54.084333333,52.223
64.521666666,54.540333333,52.895
65.097666666,54.743,53.119
65.428333333,55.199,53.449666666
65.908333333,55.420333333,53.567
66.263,55.857666666,54.199
67.319,56.079,54.420333333
67.879,56.519,54.785666666
68.204333333,56.737666666,54.881666666
68.713666666,56.839,55.540333333
69.052333333,57.071,55.761666666
70.111,57.159,56.103
70.657666666,57.380333333,56.212333333
70.985666666,57.841666666,56.847
71.484333333,58.065666666,57.065666666
71.839,58.164333333,57.412333333
72.895,58.391,57.543
73.471,58.484333333,58.169666666
73.772333333,58.697666666,58.383
74.255,59.145666666,58.705666666
74.607,59.348333333,58.831
75.665666666,59.444333333,59.167
76.233666666,59.553666666,59.463
76.56433333300001,59.671,59.676333333
77.031,59.777666666,60.007
77.404333333,59.996333333,60.124333333
78.444333333,60.209666666,60.756333333
79.009666666,60.441666666,60.975
79.327,60.647,61.311
79.815,60.748333333,61.428333333
80.175,60.961666666,62.100333333
81.231,61.076333333,62.327
81.820333333,61.297666666,62.652333333
82.121666666,61.991,62.788333333
82.591,62.343,63.460333333
82.937666666,62.660333333,63.671
83.985666666,62.983,64.025666666
84.540333333,63.327,64.135
84.852333333,63.815,64.849666666
85.319,63.919,65.087
85.665666666,64.023,65.441666666
86.700333333,64.153666666,65.569666666
87.236333333,64.236333333,66.260333333
87.540333333,67.319,66.479
88.007,68.361666666,66.833666666
88.351,68.449666666,66.953666666
89.343,68.572333333,67.647
89.92166666600001,68.708333333,67.881666666
90.241666666,68.92166666600001,68.231
90.729666666,69.129666666,68.364333333
91.079,69.375,69.039
92.127,69.607,69.271
92.700333333,71.489666666,69.601666666
93.015,72.039,69.732333333
93.508333333,72.172333333,70.425666666
93.865666666,72.391,70.663
94.935,72.900333333,71.017666666
95.495,73.452333333,71.151
95.820333333,73.56433333300001,71.836333333
96.319,73.780333333,72.055
96.652333333,74.279,72.535
97.660333333,74.833666666,73.204333333
98.175,74.95100000000001,73.444333333
98.495,75.164333333,73.801666666
98.985666666,75.665666666,73.929666666
99.316333333,76.217666666,74.607
100.321666666,76.332333333,74.828333333
100.897666666,76.556333333,75.188333333
101.217666666,77.071,75.311
101.679,77.623,75.988333333
102.025666666,77.743,76.223
103.060333333,77.959,76.575
103.620333333,78.449666666,76.711
103.932333333,79.001666666,77.401666666
104.433666666,79.121666666,77.625666666
104.788333333,79.329666666,77.985666666
105.809666666,79.828333333,78.095
106.340333333,80.388333333,78.444333333
106.665666666,80.503,78.761666666
107.161666666,80.721666666,78.996333333
107.511,81.209666666,79.343
108.505666666,81.761666666,79.471
109.055,81.876333333,79.807
109.359,82.092333333,80.167
109.847,82.583,80.380333333
110.180333333,82.801666666,80.724333333
111.175,83.161666666,80.855
111.703,83.268333333,81.524333333
112.017666666,83.487,81.759
