Dun,J1,J2
2.449666667,0.191,6.420333332999999
3.081666667,0.649666666,6.676333333
3.409666667,1.033666666,6.791
3.743,1.375,7.404333332999999
4.255,1.6203333329999998,7.511
4.622999999999999,1.721666666,7.892333333
4.985666666999999,2.1056666660000003,8.145666666
5.351,2.481666666,8.265666666000001
5.913666666999999,3.0656666660000003,8.881666666000001
7.156333333,3.169666666,8.975000000000001
8.273666667,3.908333333,9.369666666
8.833666667000001,4.255,9.609666666
9.180333333,4.513666666,9.729666666
9.532333333,4.614999999999999,10.327
10.076333333,4.977666665999999,10.433666666
10.447,5.340333332999999,10.828333333
10.812333333,5.959,11.068333333
11.183,6.044333333,11.191
11.756333333,13.596333333,11.807
13.081666667,13.839,11.903
14.135,14.103,12.295
14.737666667,14.335,12.545666666
15.033666667,14.572333333,12.668333333
15.348333333,14.839,13.276333333
15.911,15.092333333,13.375
16.252333333,15.332333333,13.777666666
16.623,15.580333333,14.020333333
16.975,15.913666666,14.145666666
17.532333333,16.028333333,14.711
19.927,16.148333333,14.815
20.687,16.273666666,15.204333333
21.089666667,16.481666666,15.441666666
21.708333333,16.716333333,15.564333333
22.036333333,16.972333333,16.140333333
22.436333333,17.313666666,16.249666666
22.791,17.593666666,16.628333333
23.375,17.660333333,16.865666666
24.609666667,19.052333333,16.996333333
25.737666667,19.412333333,17.575
26.348333333,19.775,17.665666666
26.692333333,20.127,18.049666666
27.020333333,20.897666666,18.305666666
27.561666667,20.991,18.420333333
27.911,21.084333333,19.055
28.252333333,21.191,19.175
28.591,21.372333333,19.553666666
29.185666667,21.601666666,19.804333333
33.263,21.823,19.932333333
33.588333333,22.084333333,20.527
33.948333333,22.319,20.623
34.300333333,23.153666666,21.012333333
34.892333333,23.415,21.268333333
36.087,26.857666666,21.375
37.116333333,26.953666666,21.953666666
37.689666667,27.060333333,22.079
38.023,27.196333333,22.441666666
38.345666667,27.407,22.679
38.857666667,27.633666666,22.815
39.193666667,27.895,23.420333333
39.540333333,28.135,23.508333333
39.895,28.348333333,23.887
40.460333333,28.615,24.143
41.655,28.921666666,24.260333333
42.719,29.177666666,24.863
43.257666667,31.724333333,24.956333333
43.577666667,31.831,25.348333333
43.897666667,32.076333333,25.599
44.423,32.180333333,25.735
44.735,32.425666666,26.343
45.065666667,32.537666666,26.439
45.415,33.255,26.836333333
45.980333333,33.508333333,27.087
47.108333333,33.948333333,27.215
48.124333333,34.185666666,27.775
48.679,34.641666666,27.887
49.007,34.892333333,28.265666666
49.329666667,35.369666666,28.500333333
49.823,35.625666666,28.620333333
50.164333333,36.060333333,29.193666666
50.516333333,36.327,29.279
50.860333333,36.668333333,29.660333333
51.415,36.767,29.911
52.599,37.017666666,30.025666666
53.671,37.439,30.631
54.220333333,37.689666666,30.727
54.540333333,38.020333333,31.113666666
54.844333333,38.132333333,31.367
55.356333333,38.364333333,31.484333333
55.695,38.828333333,32.076333333
56.031,39.089666666,32.167
56.380333333,39.185666666,32.553666666
56.916333333,39.436333333,32.788333333
58.076333333,39.529666666,32.900333333
59.100333333,39.772333333,33.487
59.657666667,40.207,33.601666666
59.983,40.457666666,33.972333333
