Dun,J1,J2
6.732333333,0.015,4.606999999999999
7.273666667,2.481666666,4.927
7.796333333,2.580333333,5.734999999999999
8.108333333000001,3.548333333,6.239
8.847000000000001,4.129666665999999,6.775
9.335,4.641666666,7.060333333
9.804333333,4.702999999999999,7.844333333
10.105666667,4.985666665999999,8.351
10.412333333,5.657666666,9.807
10.780333333,6.217666666,10.273666666
11.252333333,6.734999999999999,10.785666666
11.719,6.839,11.025666666
12.012333333,7.436333332999999,11.247
12.297666667,7.833666666,11.732333333
12.657666667,8.100333333,11.961666666
13.116333333,8.436333333,12.185666666
13.588333333,8.793666666,12.295
13.879,8.937666666,12.657666666
14.151,9.300333333,12.868333333
14.529666667,9.423,13.140333333
14.993666667,9.799,13.607
15.449666667,9.945666666,13.863
15.748333333,10.095,14.095
16.065666667000002,10.279,14.583
17.161666667000002,10.407,16.441666666
18.081666667,10.751,16.703
19.031,10.892333333,16.929666666
20.903,11.244333333,17.135
21.385666667,11.353666666,17.412333333
21.817666667,11.716333333,17.713666666
22.223,12.004333333,17.873666666000002
22.671,12.305666666,18.135
22.924333333,12.668333333,18.329666666
23.209666667,12.780333333,18.537666666
23.577666667,13.121666666,18.807
24.023,13.223,19.055
24.449666667,15.535,19.276333333
24.703,15.841666666,19.583
24.980333333,16.009666666,19.732333333
25.319,16.481666666,19.975
25.764333333,16.673666666,20.212333333
26.177666667,16.940333333,20.428333333
26.436333333,17.420333333000002,20.673666666
26.697666667,17.697666666,20.919
27.028333333,17.892333333,21.145666666
27.468333333,18.351,21.452333333
27.887,18.551,21.604333333
28.135,18.807,22.031
28.412333333,19.295,22.233666666
28.767,19.577666666,22.492333333
29.175,19.767,22.924333333
29.601666667,20.220333333,23.223
29.849666667,20.428333333,23.372333333
30.121666667,20.697666666,23.807
30.441666667,20.889666666,23.996333333
30.879,21.001666666,24.247
31.271,21.153666666,24.681666666
31.537666667,21.337666666,24.983
31.817666667,21.455,25.119
32.135,21.793666666,25.559
32.575,21.916333333,25.769666666
32.956333333,22.231,25.980333333
33.217666667,22.335,26.423
33.503,22.657666666,26.713666666
33.820333333,22.937666666,26.860333333
34.255,23.209666666,27.289666666
34.644333333,23.559,27.489666666
34.913666667,23.663,27.737666666
35.156333333,23.999,28.135
35.460333333,24.103,28.415
35.871,24.423,28.556333333
36.249666667,24.692333333,28.980333333
36.511,24.969666666,29.183
36.783,25.300333333,29.407
37.089666667,25.415,29.836333333
37.508333333,25.729666666,30.116333333
37.873666667,25.844333333,30.265666666
38.148333333,26.172333333,30.684333333
38.409666667,26.287,30.937666666
38.697666667,26.409666666,31.105666666
39.108333333,26.580333333,31.537666666
39.497666667,26.692333333,31.828333333
39.751,27.001666666,31.969666666
40.025666667,27.129666666,32.383
40.292333333,27.433666666,32.577666666
40.740333333,27.543,32.820333333
41.089666667,27.879,33.220333333
41.353666667,28.132333333,33.492333333
41.609666667,28.415,33.633666666
41.889666667,28.740333333,34.047
42.308333333,28.855,34.279
42.695,29.164333333,34.449666666
42.927,29.255,34.865666666
43.204333333,29.575,35.137666666
43.495,29.828333333,35.271
43.911,30.111,35.684333333
44.284333333,30.439,35.932333333
44.767,30.551,36.084333333
45.092333333,30.873666666,36.503
45.492333333,30.967,36.791
45.852333333,31.297666666,36.921666666
46.095,31.396333333,37.180333333
46.353666667,31.705666666,37.324333333
46.665666667,31.807,37.583
47.073666667,32.121666666,37.732333333
47.439,32.247,38.140333333
47.897666667,32.545666666,38.404333333
48.212333333,32.647,38.535
48.636333333,32.980333333,38.935
49.007,33.225666666,39.207
49.244333333,33.492333333,39.340333333
49.511,33.799,39.745666666
49.804333333,33.919000000000004,40.033666666
50.199,34.225666666,40.156333333
50.588333333,34.335,40.551
50.825666667,34.633666666,40.815
51.095,34.756333333,40.961666666
51.353666667,34.873666666,41.361666666
51.748333333,35.031,41.636333333
52.124333333,35.145666666000004,41.751
52.356333333,35.439,42.143
52.612333333,35.564333333,42.415
52.892333333,35.849666666,42.543
53.273666667,35.953666666000004,42.959
53.655,36.271,43.225666666
53.889666667,36.511,43.340333333
54.129666667,36.759,43.751
54.428333333,37.073666666,44.017666666
54.812333333,37.193666666,44.137666666
55.177666667,37.497666666,44.540333333
55.420333333,37.604333333,44.796333333
55.679,37.905666666,44.913666666
55.940333333,38.023,45.156333333
56.319,38.135,45.295
56.673666667,38.287,45.561666666
56.927,38.393666666,45.697666666
57.153666667,38.689666666,46.092333333
57.441666667,38.807,46.353666666
57.815,39.105666666,46.489666666
58.188333333,39.217666666,46.868333333
58.423,39.516333333,47.092333333
58.671,39.745666666,47.263
58.959,39.988333333,47.665666666
59.345666667,40.316333333,47.945666666
59.700333333,40.420333333,48.063
59.943,40.703,48.455
60.169666667,40.804333333,48.703
60.447,41.108333333,48.841666666
60.823,41.343,49.236333333
61.169666667,41.585666666,49.505666666
61.401666667,41.895,49.631
61.647,42.007,49.881666666
61.945666667,42.295,50.023
62.284333333,42.404333333,50.287
62.663,42.697666666,50.428333333
62.881666667,42.948333333,50.839
63.140333333,43.180333333,51.092333333
63.412333333,43.489666666,51.209666666
63.780333333,43.596333333,51.593666666
64.153666667,43.884333333,51.817666666
64.377666667,43.991,51.967
64.641666667,44.292333333,52.199
64.911,44.404333333,52.367
65.281666667,44.524333333,52.601666666
65.657666667,44.668333333,52.729666666
65.884333333,44.783,53.119
66.127,45.063,53.337666666
66.412333333,45.175,53.505666666
66.793666667,45.452333333,53.729666666
67.161666667,45.545666666,53.892333333
67.391,46.081666666,54.121666666
67.639,46.353666666,54.257666666
67.919,46.748333333,54.497666666
68.305666667,47.132333333,54.655
68.663,47.532333333,54.868333333
68.889666667,47.913666666,55.031
69.148333333,48.308333333,55.257666666
69.43900000000001,48.697666666,55.417666666
69.82300000000001,49.236333333,55.652333333
70.183,49.513666666,55.788333333
70.412333333,49.796333333,56.167
70.663,49.916333333,56.385666666
70.95100000000001,50.196333333,56.537666666
71.324333333,50.295,56.772333333
71.69233333300001,50.577666666,56.935
71.916333333,50.689666666,57.148333333
72.167,50.809666666,57.281666666
72.43633333300001,50.953666666,57.660333333
72.812333333,51.057666666,57.881666666
73.169666667,51.348333333,58.060333333
73.393666667,51.460333333,58.268333333
73.641666667,51.727,58.428333333
73.924333333,51.820333333,58.668333333
74.303,52.113666666,58.804333333
74.636333333,52.199,59.041666666
74.857666667,52.596333333,59.175
75.111,52.879,59.393666666
75.383,52.991,59.556333333
75.772333333,53.265666666,59.785666666
76.121666667,53.359,59.927
76.332333333,53.649666666,60.164333333
76.569666667,53.876333333,60.281666666
76.855,54.121666666,60.644333333
77.228333333,54.407,60.889666666
77.56433333300001,54.513666666,61.023
77.788333333,54.801666666,61.385666666
78.039,54.900333333,61.657666666
78.329666667,55.188333333,61.759
78.687,55.404333333,62.023
79.036333333,55.636333333,62.137666666
79.257666667,55.921666666,62.364333333
79.508333333,56.031,62.503
79.775,56.305666666,62.721666666
80.148333333,56.409666666,62.879
80.487,56.687,63.124333333
80.708333333,56.799,63.249666666
80.961666667,56.908333333,63.495
81.236333333,57.044333333,63.623
81.607,57.161666666,63.871
81.95366666700001,57.428333333,64.00699999999999
82.164333333,57.537666666,64.380333333
82.417666667,57.812333333,64.641666666
82.69766666700001,57.908333333,64.767
83.057666667,58.188333333,65.145666666
83.412333333,58.420333333,65.375
83.623,58.660333333,65.516333333
83.873666667,58.940333333,65.889666666
84.156333333,59.047,66.140333333
84.519,59.319,66.252333333
84.873666667,59.425666666,66.636333333
85.087,59.689666666,66.884333333
85.321666667,59.807,67.017666666
85.601666667,59.911,67.391
85.967,60.052333333,67.631
86.303,60.164333333,67.753666666
86.519,60.431,68.140333333
86.775,60.553666666,68.367
87.057666667,60.801666666,68.513666666
87.43900000000001,60.892333333,68.900333333
87.785666667,61.167,69.132333333
87.988333333,61.268333333,69.260333333
88.247,61.647,69.655
88.521666667,61.895,69.889666666
88.889666667,62.007,70.028333333
89.257666667,62.383,70.412333333
89.465666667,62.657666666,70.665666666
89.735,62.748333333,70.788333333
90.001666667,63.140333333,71.167
90.369666667,63.393666666,71.417666666
90.732333333,63.489666666,71.545666666
90.935,63.860333333,71.916333333
91.215,64.145666666,72.161666666
91.492333333,64.233666666,72.273666666
91.855,64.625666666,72.647
92.209666667,64.892333333,72.876333333
92.423,64.991,73.015
92.681666667,65.369666666,73.380333333
92.969666667,65.652333333,73.625666666
93.332333333,65.868333333,73.740333333
93.687,66.121666666,74.116333333
93.905666667,66.401666666,74.359
94.153666667,66.497666666,74.492333333
94.431,66.868333333,74.729666666
94.804333333,67.148333333,74.868333333
95.145666667,67.375,75.100333333
95.369666667,67.612333333,75.220333333
95.609666667,67.900333333,75.577666666
95.884333333,67.999,75.809666666
96.236333333,68.369666666,75.95100000000001
96.599,68.652333333,76.321666666
96.820333333,68.876333333,76.56433333300001
97.065666667,69.129666666,76.687
97.343,69.423,77.063
97.719,69.516333333,77.292333333
98.073666667,69.796333333,77.428333333
98.289666667,69.895,77.79366666600001
98.548333333,70.18033333300001,78.055
98.820333333,70.409666666,78.167
99.191,70.649666666,78.540333333
99.529666667,70.937666666,78.769666666
99.751,71.033666666,78.911
99.996333333,71.30566666600001,79.273666666
100.276333333,71.404333333,79.508333333
100.649666667,71.679,79.623
100.985666667,71.788333333,79.999
101.204333333,71.892333333,80.239
101.460333333,72.023,80.361666666
101.737666667,72.140333333,80.716333333
102.103,72.401666666,80.964333333
102.441666667,72.519,81.071
102.655,72.783,81.431
102.911,72.879,81.660333333
103.183,73.151,81.791
103.532333333,73.380333333,82.164333333
103.889666667,73.617666666,82.396333333
104.103,73.897666666,82.524333333
104.335,74.001666666,82.879
104.620333333,74.263,83.116333333
104.985666667,74.353666666,83.247
105.345666667,74.625666666,83.612333333
105.561666667,74.849666666,83.857666666
105.812333333,75.076333333,83.975
106.095,75.369666666,84.207
106.455,75.468333333,84.343
106.804333333,75.740333333,84.583
107.017666667,75.833666666,84.711
107.263,76.092333333,85.076333333
107.532333333,76.327,85.321666666
107.903,76.56433333300001,85.444333333
108.247,76.836333333,85.79366666600001
108.463,76.940333333,86.028333333
108.713666667,77.204333333,86.156333333
108.964333333,77.30566666600001,86.519
109.319,77.580333333,86.764333333
109.673666667,77.804333333,86.881666666
109.892333333,78.031,87.249666666
110.135,78.295,87.484333333
110.420333333,78.401666666,87.617666666
110.775,78.668333333,87.983
111.132333333,78.767,88.225666666
111.343,79.023,88.351
111.588333333,79.137666666,88.721666666
111.860333333,79.239,88.956333333
112.228333333,79.372333333,89.089666666
112.553666667,79.481666666,89.460333333
112.767,79.745666666,89.700333333
113.017666667,79.855,89.828333333
113.295,80.105666666,90.201666666
113.649666667,80.196333333,90.428333333
113.999,80.476333333,90.561666666
114.193666667,80.705666666,90.943
114.441666667,80.935,91.191
114.711,81.209666666,91.313666666
115.060333333,81.311,91.689666666
115.399,81.585666666,91.916333333
115.612333333,81.679,92.055
115.860333333,81.943,92.431
116.127,82.161666666,92.681666666
116.505666667,82.383,92.804333333
116.825666667,82.663,93.039
