Dun,J1,J2
0.343,3.4283333330000003,1.076333333
1.060333333,3.807,1.3909999999999998
2.177666667,4.175,1.6363333329999998
2.556333333,4.526999999999999,2.172333333
3.236333333,4.844333333,2.8843333330000003
3.607,5.105666665999999,3.127
3.945666667,5.332333332999999,3.625666666
5.020333333,5.558999999999999,4.284333332999999
5.361666667,5.764333333,4.524333333
6.015,5.833666666,5.031
6.385666667,6.044333333,5.692333333
6.748333333,6.268333332999999,5.913666665999999
8.193666667,7.004333333,6.393666666
8.753666667000001,7.359,7.076333333
8.863000000000001,7.676333333,7.319
9.233666667,8.044333333,7.830999999999999
9.599,8.361666666000001,8.529666666
10.697666667,8.887,8.769666666
11.041666667,9.116333333,9.161666666
11.735,9.340333333,9.260333333
12.084333333,9.601666666,9.937666666
12.455,9.825666666,10.177666666
13.551,10.175,10.567
13.903,10.287,10.671
14.591,11.033666666,11.380333333
14.959,11.273666666,11.617666666
15.319,12.479,11.985666666
16.383,12.711,12.111
16.721666667,13.065666666,12.807
17.417666667,13.164333333,13.047
17.772333333,13.543,13.543
18.121666667,13.881666666,14.236333333
19.156333333,14.135,14.465666666
19.516333333,14.460333333,14.841666666
20.185666667,14.591,14.953666666
20.543,15.313666666,15.639
20.897666667,15.535,15.873666666
21.943,15.895,16.265666666
22.287,16.015,16.361666666
22.953666667,16.735,17.073666666
23.308333333,17.063,17.300333333
23.668333333,17.132333333000002,17.665666666
24.729666667,17.303,17.783
25.076333333,17.785666666,18.119
25.729666667,18.121666666,18.444333333
26.087,18.444333333,18.679
26.447,18.516333333,19.177666666
27.463,18.692333333,19.399
27.807,19.175,19.513666666
28.476333333,19.511,19.863
28.799,19.833666666,20.076333333
29.148333333,19.905666666,20.548333333
30.175,20.073666666,20.767
30.492333333,20.559,20.895
31.132333333,20.900333333,21.220333333
31.463,21.215,21.436333333
31.793666667,21.471,21.911
32.868333333,26.991,22.127
33.188333333,27.100333333,22.252333333
33.823,27.321666666,22.617666666
34.161666667,27.556333333,22.847
34.492333333,27.788333333,23.321666666
35.503,28.012333333,23.553666666
35.823,28.217666666,23.668333333
36.449666667,28.457666666,23.999
36.753666667,28.684333333,24.228333333
37.100333333,29.132333333,24.713666666
38.121666667,29.356333333,24.932333333
38.513666667,29.457666666,25.057666666
39.143,29.551,25.391
39.481666667,29.689666666,25.615
39.809666667,29.801666666,26.092333333
40.812333333,30.023,26.305666666
41.177666667,30.247,26.441666666
41.809666667,30.463,26.767
42.127,30.692333333,26.996333333
42.495,30.783,27.465666666
43.484333333,31.001666666,27.689666666
43.817666667,31.108333333,27.796333333
44.479,31.340333333,28.121666666
44.812333333,32.825666666000004,28.335
45.151,32.889666666000004,28.799
46.145666667,33.135,29.009666666
46.473666667,33.353666666,29.137666666
47.116333333,33.567,29.449666666
47.465666667,33.809666666,29.676333333
47.799,34.025666666,30.137666666
48.791,34.476333333,30.348333333
49.113666667,34.575,30.471
49.767,34.804333333,30.796333333
50.092333333,34.884333333,31.004333333
50.452333333,35.001666666,31.465666666
51.431,35.127,31.681666666
51.748333333,35.209666666000004,31.807
52.409666667,35.324333333,32.124333333
52.761666667,35.447,32.353666666
53.100333333,35.529666666,32.833666666
54.071,35.644333333,33.049666666
54.388333333,35.769666666,33.169666666
55.068333333,35.844333333,33.476333333
55.380333333,35.983000000000004,33.681666666
55.695,36.172333333,34.148333333000004
56.676333333,36.415,34.361666666
57.001666667,37.135,34.487
57.604333333,38.327,34.796333333
57.919,38.452333333,35.012333333
58.247,38.673666666,35.489666666
59.265666667,38.887,35.801666666
59.604333333,39.105666666,36.095
60.236333333,39.324333333,36.313666666
60.559,39.543,36.759
60.897666667,39.783,36.977666666
61.905666667,39.991,37.105666666
62.236333333,40.345666666,37.428333333
62.887,40.439,37.641666666
63.209666667,40.540333333,38.121666666
63.556333333,41.121666666,38.345666666
64.556333333,41.345666666,38.463
64.857666667,41.665666666,38.793666666
65.452333333,41.788333333,39.001666666
65.724333333,41.889666666,39.455
66.100333333,42.465666666,39.673666666
67.135,42.684333333,39.807
67.481666667,43.023,40.116333333
68.127,43.132333333,40.337666666
68.460333333,43.799,40.817666666
68.804333333,44.012333333,41.036333333
69.828333333,44.209666666,41.148333333
70.169666667,44.439,41.479
70.812333333,44.663,41.681666666
71.135,44.879,42.044333333
71.489666667,45.127,42.145666666
72.487,45.335,42.369666666
72.857666667,45.679,42.492333333
73.452333333,45.791,42.807
73.793666667,46.455,43.025666666
74.097666667,46.673666666,43.476333333
75.057666667,47.004333333,43.697666666
75.372333333,47.111,43.801666666
75.993666667,47.204333333,44.135
76.30833333300001,47.780333333,44.345666666
76.665666667,47.985666666,44.703
77.660333333,48.321666666,44.804333333
77.967,48.433666666,45.017666666
78.631,48.527,45.127
78.967,49.097666666,45.444333333
79.273666667,49.324333333,45.668333333
80.260333333,49.628333333,46.127
80.591,49.705666666,46.353666666
81.215,50.385666666,46.465666666
81.537666667,50.959,46.793666666
81.860333333,51.063,47.004333333
82.828333333,51.593666666,47.460333333
83.159,51.676333333,47.679
83.801666667,51.751,47.791
84.151,52.281666666,48.100333333
84.449666667,52.407,48.321666666
85.455,52.977666666,48.764333333
85.780333333,53.055,48.988333333
86.417666667,53.617666666,49.092333333
86.735,53.729666666,49.431
87.052333333,54.255,49.636333333
88.012333333,54.327,49.993666666
88.343,54.399,50.084333333
88.948333333,55.041666666,50.303
89.601666667,55.241666666,50.420333333
90.625666667,55.351,50.727
90.969666667,55.569666666,50.951
91.609666667,55.815,51.404333333
92.276333333,56.217666666,51.631
93.268333333,56.532333333,51.751
93.609666667,56.751,52.079
94.265666667,56.972333333,52.287
94.609666667,57.175,52.751
94.916333333,57.271,52.961666666
95.935,57.487,53.081666666
96.276333333,57.577666666,53.404333333
96.932333333,57.812333333,53.628333333
97.265666667,58.455,54.057666666
97.599,58.772333333,54.287
98.583,59.108333333,54.401666666
98.911,59.441666666,54.719
99.521666667,59.783,54.940333333
99.831,60.223,55.281666666
100.169666667,60.329666666,55.385666666
101.129666667,60.431,55.593666666
101.447,60.543,55.700333333
102.055,60.633666666,56.004333333
102.377666667,62.249666666,56.233666666
102.687,62.345666666,56.665666666
103.321666667,62.431,56.876333333
103.657666667,62.543,56.985666666
103.956333333,62.633666666,57.308333333
104.567,62.767,57.505666666
104.881666667,62.884333333,57.935
105.217666667,63.081666666,58.148333333
106.180333333,63.289666666,58.255
106.495,63.535,58.569666666
107.124333333,63.743,58.799
107.457666667,63.817666666,59.255
107.777666667,64.065666666,59.468333333
108.751,64.156333333,59.575
109.073666667,64.257666666,59.895
109.700333333,64.364333333,60.111
110.023,64.487,60.551
110.359,64.69500000000001,60.761666666
111.308333333,64.817666666,60.876333333
111.615,64.988333333,61.193666666
112.217666667,65.116333333,61.428333333
112.527,65.441666666,61.884333333
112.844333333,70.801666666,62.103
113.820333333,71.012333333,62.225666666
114.135,71.233666666,62.551
114.759,71.444333333,62.743
115.087,71.649666666,63.103
115.417666667,73.460333333,63.201666666
116.361666667,73.665666666,63.425666666
116.695,73.753666666,63.529666666
117.332333333,73.991,63.836333333
117.652333333,74.113666666,64.057666666
117.964333333,74.185666666,64.508333333
118.905666667,74.404333333,64.697666666
119.225666667,74.609666666,64.812333333
119.828333333,74.703,65.129666666
120.129666667,74.935,65.340333333
120.457666667,75.041666666,65.681666666
121.433666667,75.132333333,65.780333333
121.772333333,75.353666666,66.001666666
122.420333333,75.553666666,66.119
122.751,75.647,66.415
123.076333333,75.865666666,66.652333333
124.009666667,75.988333333,67.124333333
124.329666667,76.207,67.345666666
124.935,77.961666666,67.465666666
125.247,78.183,67.796333333
125.569666667,78.513666666,68.004333333
126.508333333,78.620333333,68.460333333
126.831,78.833666666,68.69233333300001
127.420333333,79.295,68.809666666
127.724333333,79.364333333,69.119
128.05233333299998,79.487,69.340333333
128.972333333,79.815,69.799
129.297666667,79.911,70.025666666
129.88433333299997,80.119,70.145666666
130.183,80.572333333,70.471
130.49233333299998,80.777666666,70.687
131.40166666699997,81.052333333,71.041666666
131.70566666699995,81.175,71.132333333
132.292333333,81.404333333,71.340333333
132.601666667,81.865666666,71.457666666
132.91899999999998,82.063,71.759
133.836333333,82.377666666,71.975
134.156333333,82.481666666,72.43900000000001
134.743,82.705666666,72.657666666
135.020333333,83.169666666,72.767
135.33499999999998,83.249666666,73.100333333
136.28433333299998,83.364333333,73.324333333
136.61233333299998,83.679,73.679
137.21499999999995,83.799,73.775
137.524333333,84.023,73.993666666
137.84966666699998,84.468333333,74.113666666
138.759,84.671,74.409666666
139.087,84.977666666,74.623
139.68966666699998,85.092333333,74.972333333
140.00433333299998,85.324333333,75.063
140.303,85.772333333,75.263
141.24166666699998,85.975,75.372333333
141.556333333,86.172333333,75.684333333
142.16433333299997,86.255,75.876333333
142.47099999999998,86.396333333,76.329666666
142.77499999999998,86.481666666,76.537666666
143.68966666699998,86.719,76.663
144.00433333299998,86.959,76.961666666
144.609666667,87.071,77.18033333300001
144.91899999999998,87.273666666,77.639
145.220333333,87.359,77.847
146.15099999999998,87.577666666,77.967
146.463,87.671,78.281666666
147.044333333,87.892333333,78.484333333
147.35633333299998,88.103,78.932333333
147.65233333299997,88.30833333300001,79.135
148.599,88.513666666,79.263
148.91366666699997,88.609666666,79.569666666
149.487,88.831,79.79366666600001
149.780333333,88.932333333,80.239
150.084333333,89.159,80.460333333
150.98299999999998,89.809666666,80.569666666
151.28966666699998,90.132333333,80.879
151.87366666699998,90.457666666,81.095
152.17233333299998,90.793666666,81.513666666
152.47899999999998,91.135,81.735
153.364333333,91.599,81.857666666
153.66299999999998,91.689666666,82.164333333
154.228333333,91.796333333,82.383
154.52166666699998,91.927,82.828333333
154.82566666699998,92.129666666,83.047
155.692333333,92.372333333,83.153666666
155.996333333,92.553666666,83.484333333
156.553666667,92.804333333,83.689666666
156.836333333,94.249666666,84.033666666
157.14299999999997,94.364333333,84.137666666
158.041666667,94.455,84.356333333
158.343,94.577666666,84.465666666
158.93766666699997,94.663,84.772333333
159.21766666699995,96.951,84.993666666
159.51899999999998,97.143,85.335
160.415,97.593666666,85.431
160.735,97.777666666,85.649666666
161.321666667,98.116333333,85.761666666
161.649666667,98.231,86.089666666
161.93233333299997,98.423,86.289666666
162.785666667,98.876333333,86.735
163.084333333,99.071,86.937666666
163.63633333299998,99.377666666,87.057666666
163.924333333,99.500333333,87.369666666
164.23633333299998,99.716333333,87.591
165.156333333,100.167,88.017666666
165.45766666699998,100.356333333,88.215
166.049666667,100.673666666,88.321666666
166.35633333299998,100.785666666,88.639
166.647,100.985666666,88.841666666
167.54566666699998,101.436333333,89.279
167.86833333299998,101.620333333,89.481666666
168.45233333299998,101.833666666,89.607
168.77499999999998,102.047,89.916333333
169.065666667,102.268333333,90.137666666
169.95899999999995,102.903,90.601666666
170.268333333,103.004333333,90.825666666
170.836333333,103.103,90.924333333
171.15366666699998,103.201666666,91.257666666
171.44433333299995,103.329666666,91.468333333
172.327,103.508333333,91.929666666
172.625666667,103.729666666,92.129666666
173.207,103.943,92.247
173.529666667,104.145666666,92.572333333
173.807,104.236333333,92.791
174.68166666699997,104.457666666,93.260333333
174.999,104.559,93.465666666
175.572333333,104.780333333,93.585666666
175.86833333299998,105.401666666,93.919
176.16966666699997,105.735,94.124333333
177.044333333,106.052333333,94.577666666
177.364333333,106.383,94.788333333
177.927,106.687,94.911
178.21499999999995,110.871,95.228333333
178.508333333,110.959,95.460333333
179.38566666699998,111.175,95.932333333
179.68166666699997,111.295,96.145666666
180.257666667,111.497666666,96.268333333
180.559,111.593666666,96.599
180.871,111.788333333,96.809666666
181.727,111.892333333,97.249666666
182.033666667,112.105666666,97.476333333
182.604333333,112.204333333,97.585666666
182.887,112.415,97.897666666
183.196333333,112.519,98.129666666
184.055,117.329666666,98.583
184.337666667,117.428333333,98.783
184.892333333,117.508333333,98.903
185.180333333,117.625666666,99.212333333
185.497666667,117.833666666,99.415
186.343,118.073666666,99.844333333
186.639,118.252333333,100.041666666
187.188333333,118.476333333,100.164333333
187.505666667,118.724333333,100.457666666
187.809666667,118.940333333,100.668333333
188.681666667,119.167,101.105666666
189.007,119.364333333,101.313666666
189.585666667,119.553666666,101.425666666
189.876333333,119.785666666,101.732333333
190.209666667,120.015,101.948333333
191.068333333,121.441666666,102.361666666
191.364333333,122.359,102.572333333
191.953666667,122.447,102.681666666
192.252333333,122.639,102.983
192.567,123.060333333,103.196333333
193.452333333,123.249666666,103.631
193.740333333,123.671,103.831
194.308333333,123.873666666,103.945666666
194.583,124.303,104.255
194.908333333,124.505666666,104.455
195.775,124.924333333,104.892333333
196.065666667,125.124333333,105.095
196.633666667,125.559,105.207
196.921666667,125.756333333,105.497666666
197.236333333,126.073666666,105.700333333
198.097666667,126.185666666,106.153666666
198.383,126.361666666,106.361666666
198.961666667,126.660333333,106.471
