Dun,J1,J2
5.105666667,0.385666666,2.6096666660000003
5.436333332999999,1.135,7.409666666
5.681666667,1.265666666,7.718999999999999
5.996333333,1.369666666,7.956333333
6.503,1.473666666,8.511000000000001
6.892333333,1.5883333329999998,8.839
7.348333332999999,1.799,9.052333333
7.444333332999999,2.007,9.609666666
7.964333333,2.217666666,9.924333333
8.524333333000001,2.3803333330000003,10.151
11.807,2.599,10.695
12.057666667,2.801666666,11.012333333
12.551,3.0896666660000003,11.241666666
13.079,3.292333333,11.791
13.391,3.468333333,12.087
13.812333333,3.649666666,12.295
14.095,3.847,12.796333333
14.575,11.017666666,13.089666666
15.108333333,11.356333333,13.284333333
15.409666667,11.769666666,13.809666666
15.823,12.089666666,14.113666666
16.108333333,12.519,14.321666666
16.623,13.423,14.823
17.135,13.812333333,15.121666666
17.476333333,14.111,15.332333333
17.903000000000002,14.599,15.911
18.177666667,14.921666666,16.204333333
18.695,15.196333333,16.404333333
19.228333333,15.473666666,16.860333333
19.535,15.681666666,17.169666666
19.943,15.937666666,17.348333333
20.225666667,16.129666666000002,17.889666666
20.764333333,16.367,18.220333333
21.265666667,16.617666666,18.409666666
21.607,16.871000000000002,18.919
22.012333333,17.135,19.252333333
22.305666667,18.004333333,19.431
22.823,18.561666666,19.964333333
23.308333333,19.191,20.289666666
23.668333333,19.961666666,20.465666666
24.036333333,20.775,20.967
24.316333333,20.876333333,21.292333333
24.849666667,21.001666666,21.479
25.332333333,21.116333333,22.009666666
25.673666667,21.639,22.311
26.076333333,26.836333333,22.516333333
26.332333333,26.967,23.025666666
26.836333333,27.081666666,23.343
27.324333333,27.201666666,23.535
27.652333333,27.335,24.047
28.063,27.439,24.351
28.337666667,27.553666666,24.553666666
28.865666667,27.671,25.052333333
29.348333333,28.847,25.345666666
29.681666667,29.383,25.556333333
30.095,29.700333333,26.052333333
30.353666667,29.793666666,26.351
30.876333333,29.903,26.551
31.361666667,30.057666666,27.049666666
31.719,30.172333333,27.329666666
32.108333333,30.361666666,27.543
32.372333333,30.697666666,28.055
32.876333333,30.863,28.340333333
33.380333333,31.215,28.556333333
33.695,31.391,29.057666666
34.092333333,31.711,29.364333333
34.361666667,31.804333333,29.556333333
34.860333333,31.921666666,30.073666666
35.375,32.097666666,30.361666666
35.679,32.212333333000004,30.580333333
36.052333333,32.399,31.073666666
36.335,32.719,31.375
36.839,32.873666666,31.569666666
37.348333333,33.212333333000004,32.081666666000004
37.676333333,33.388333333,32.369666666
38.055,33.711,32.575
38.321666667,33.804333333,33.079
39.316333333,33.916333333,33.369666666
39.633666667,34.087,33.572333333
40.031,34.188333333,34.081666666000004
40.316333333,34.385666666,34.377666666
41.305666667,34.692333333,34.580333333
41.649666667,34.855000000000004,34.873666666
42.057666667,35.193666666,35.076333333
42.327,35.367,35.364333333
42.868333333,35.687,35.569666666
43.359,35.791000000000004,36.095
43.692333333,35.905666666,36.337666666
44.079,36.057666666,36.561666666
44.343,36.172333333,37.060333333
44.855,36.367,37.343
45.391,36.687,37.543
45.727,36.825666666,38.047
46.132333333,37.343,38.316333333
46.396333333,37.673666666,38.532333333
47.375,37.905666666,39.023
47.735,38.156333333,39.297666666
48.129666667,38.359,39.516333333
48.401666667,38.569666666,40.025666666
48.897666667,38.817666666,40.297666666
49.375,39.057666666,40.519
49.713666667,39.655,41.015
50.111,39.860333333,41.292333333
50.385666667,40.143,41.537666666
50.897666667,40.367,42.033666666
51.399,40.577666666,42.340333333
51.727,40.828333333,42.548333333
52.121666667,41.060333333,43.047
52.401666667,41.335,43.353666666
52.873666667,42.105666666,43.572333333
53.383,42.532333333,44.071
53.724333333,42.852333333,44.372333333
54.132333333,43.169666666,44.593666666
54.404333333,43.500333333,45.092333333
54.908333333,44.241666666,45.388333333
55.399,46.919,45.596333333
55.748333333,48.879,46.111
56.137666667,52.895,46.407
56.409666667,53.017666666,46.631
56.919,53.132333333,47.124333333
57.420333333,53.249666666,47.425666666
57.732333333,53.375,47.631
58.111,53.479,48.137666666
58.401666667,53.599,48.433666666
58.916333333,53.719,48.631
59.417666667,55.756333333,49.100333333
59.721666667,55.849666666,49.383
60.105666667,55.948333333,49.591
60.388333333,56.153666666,50.089666666
60.884333333,56.260333333,50.391
61.393666667,56.447,50.585666666
61.716333333,57.425666666,51.081666666
62.105666667,57.737666666,51.391
62.385666667,57.839,51.596333333
62.868333333,57.956333333,52.116333333
63.353666667,58.121666666,52.407
63.689666667,58.223,52.615
64.068333333,58.425666666,53.121666666
64.332333333,58.751,53.401666666
64.815,59.241666666,53.609666666
65.311,59.407,54.105666666
65.652333333,59.716333333,54.415
66.025666667,59.804333333,54.612333333
66.297666667,59.908333333,55.108333333
66.788333333,60.103,55.420333333
67.303,60.196333333,55.601666666
67.623,60.401666666,56.111
68.007,60.908333333,56.412333333
68.263,61.375,56.617666666
68.745666667,61.879,57.116333333
69.252333333,62.119,57.412333333
69.559,62.207,57.607
69.943,62.372333333,58.111
70.231,62.679,58.404333333
70.668333333,62.868333333,58.607
71.191,63.367,59.095
71.513666667,63.852333333,59.388333333
71.905666667,64.057666666,59.593666666
72.175,64.172333333,60.097666666
72.623,64.340333333,60.393666666
73.143,64.831,60.596333333
73.455,65.327,61.089666666
73.836333333,65.804333333,61.401666666
74.100333333,66.020333333,61.588333333
74.556333333,66.116333333,62.097666666
75.068333333,66.303,62.401666666
75.372333333,66.799,62.601666666
75.753666667,67.297666666,63.095
76.028333333,67.628333333,63.388333333
76.492333333,67.705666666,63.583
76.983,67.788333333,64.084333333
77.287,67.871,64.369666666
77.655,67.999,64.561666666
77.927,68.092333333,65.044333333
78.399,68.271,65.345666666
78.892333333,68.748333333,65.540333333
79.20966666700001,69.236333333,66.041666666
79.599,69.556333333,66.319
79.847,69.740333333,66.532333333
80.305666667,69.940333333,67.007
80.796333333,70.044333333,67.316333333
81.129666667,70.223,67.500333333
81.503,70.545666666,68.012333333
81.769666667,70.716333333,68.300333333
82.225666667,71.201666666,68.487
82.729666667,71.527,68.969666666
83.033666667,71.601666666,69.247
83.415,71.681666666,69.447
83.665666667,71.767,69.940333333
84.137666667,71.895,70.231
84.625666667,71.993666666,70.428333333
84.935,72.156333333,70.908333333
85.305666667,72.484333333,71.209666666
85.569666667,72.644333333,71.385666666
86.041666667,72.959,71.873666666
86.529666667,73.111,72.167
86.82566666700001,73.428333333,72.369666666
87.188333333,73.596333333,72.847
87.465666667,73.812333333,73.143
87.929666667,73.916333333,73.327
88.407,74.100333333,73.82300000000001
88.713666667,74.428333333,74.105666666
89.092333333,74.588333333,74.303
89.351,74.911,74.767
89.807,75.057666666,75.079
90.273666667,75.393666666,75.252333333
90.596333333,75.471,75.732333333
90.953666667,75.644333333,76.020333333
91.241666667,75.764333333,76.220333333
91.687,75.871,76.500333333
92.161666667,76.023,76.703
92.465666667,76.340333333,76.980333333
92.833666667,76.492333333,77.17766666600001
93.087,76.820333333,77.655
93.553666667,76.961666666,77.943
94.020333333,77.273666666,78.137666666
94.319,77.441666666,78.609666666
94.708333333,77.945666666,78.892333333
94.969666667,78.244333333,79.089666666
95.452333333,78.404333333,79.56433333300001
95.929666667,78.881666666,79.849666666
96.233666667,79.193666666,80.047
96.620333333,79.364333333,80.511
96.873666667,79.575,80.799
97.377666667,79.868333333,80.996333333
97.799,80.161666666,81.476333333
98.127,80.327,81.761666666
98.503,80.809666666,81.932333333
98.767,81.100333333,82.028333333
99.204333333,81.284333333,82.433666666
99.673666667,81.468333333,82.716333333
99.980333333,81.759,82.92166666600001
100.345666667,82.055,83.409666666
100.604333333,82.228333333,83.668333333
101.055,82.719,83.868333333
101.516333333,83.015,84.351
101.809666667,83.196333333,84.612333333
102.204333333,83.665666666,84.82300000000001
102.452333333,83.953666666,85.30566666600001
102.916333333,84.153666666,85.580333333
103.388333333,84.620333333,85.783
103.700333333,85.087,86.252333333
