Dun,J1,J2
1.665666666,76.444333333,1.6363333329999998
2.1670000000000003,76.945666666,2.140333333
5.135,77.369666666,3.127
5.892333333,77.775,5.108333333
9.983,78.412333333,5.769666666
10.340333333,78.687,5.860333333
11.063,79.020333333,6.644333333
11.647,79.321666666,7.001666665999999
12.188333333,79.463,7.239
12.895,79.772333333,7.361666666
13.271,79.959,8.137666666000001
15.753666666,80.257666666,8.788333333
16.121666666,80.407,8.887
16.815,80.721666666,9.623
23.327,81.241666666,9.975
24.057666666,81.353666666,10.215
24.593666666,81.559,10.335
25.095,81.663,11.097666666
25.777666666,81.879,11.713666666
26.129666666,81.975,11.825666666
26.839,82.204333333,12.545666666
27.353666666,82.30566666600001,12.897666666
27.863,82.412333333,13.129666666
28.588333333,82.625666666,13.255
28.919,82.817666666,13.993666666
29.623,82.919,14.591
29.945666666,83.225666666,14.703
30.292333333,83.444333333,15.431
30.615,83.860333333,22.615
31.316333333,84.097666666,22.959
31.647,84.393666666,23.199
32.321666666,84.516333333,23.297666666
32.849666666,84.727,24.031
33.319,85.132333333,32.356333333
34.033666666,85.348333333,32.916333333
34.377666666,85.633666666,33.017666666000004
35.057666666,85.748333333,33.716333333
35.388333333,85.967,34.031
35.732333333,86.372333333,34.268333333
36.063,86.591,34.375
36.737666666,87.004333333,35.084333333000004
37.057666666,87.217666666,35.631
37.740333333,87.636333333,35.724333333
38.263,87.865666666,36.401666666
38.783,88.164333333,36.727
39.468333333,88.260333333,36.956333333
39.825666666,88.479,37.060333333
40.521666666,88.876333333,37.756333333
41.052333333,89.100333333,38.335
41.535,89.524333333,38.431
42.209666666,89.748333333,39.111
42.529666666,90.164333333,39.436333333
43.535,90.383,39.657666666
44.220333333,90.796333333,39.769666666
44.900333333,91.009666666,40.484333333
45.249666666,91.399,41.044333333
45.913666666,91.615,41.140333333
46.465666666,92.028333333,41.847
46.956333333,92.241666666,42.167
47.628333333,92.513666666,42.393666666
47.977666666,92.625666666,42.508333333
48.967,92.847,43.201666666
49.657666666,93.252333333,43.775
50.335,93.473666666,43.884333333
50.687,93.873666666,44.572333333
51.369666666,94.087,44.913666666
51.911,94.495,45.137666666
52.391,94.711,45.244333333
53.063,95.132333333,45.932333333
53.412333333,95.335,46.497666666
55.132333333,95.561666666,46.599
55.828333333,95.777666666,47.287
56.148333333,96.007,47.607
56.852333333,96.207,47.831
57.033666666,96.369666666,47.945666666
57.356333333,96.593666666,48.644333333
57.809666666,96.796333333,49.217666666
58.508333333,97.007,49.327
58.815,97.225666666,50.028333333
59.519,97.527,50.356333333
60.041666666,97.727,50.575
60.505666666,98.164333333,50.692333333
62.255,98.737666666,51.388333333
62.807,98.975,51.919
63.273666666,99.391,52.028333333
63.977666666,99.999,52.727
64.292333333,100.215,53.055
64.972333333,100.641666666,53.271
65.540333333,101.244333333,53.388333333
66.017666666,101.460333333,54.084333333
66.676333333,101.884333333,54.655
67.007,102.492333333,54.767
