Comment,Marker in sec,Selected Onset,taken from drum,deviation from Cycles' marker,IOI,bpm,Smoothed bpm,cpm
,12.412,12.417666666,J2,0.005666665999999765,,,,
,14.152,14.153666666,J2,0.0016666660000002054,1.7359999999999989,138.24884792626736,138.24884792626736,34.56221198156684
,15.867,15.868333333,J2,0.0013333329999998256,1.7146666670000013,139.9688957737229,139.10887184999513,34.99222394343072
,17.549,17.548333333000002,J2,0.0006666669999972896,1.6800000000000015,142.85714285714272,140.35829551904433,35.71428571428568
,19.246,19.247,J2,0.0010000000000012221,1.6986666669999977,141.28728411670207,140.59054266845877,35.32182102917552
,20.933,20.900333333,Dun,0.03266666700000087,1.653333332999999,145.16129035184713,141.50469220513645,36.29032258796178
,22.552,22.551,J2,0.0010000000000012221,1.6506666669999994,145.39579964753725,142.9340825493904,36.34894991188431
,24.239,24.231,Dun,0.007999999999999119,1.6800000000000033,142.85714285714258,143.51173196607436,35.714285714285644
,25.901,25.887,J2,0.013999999999999346,1.6559999999999988,144.92753623188418,143.92581064102262,36.231884057971044
,27.56,27.545666666,Dun,0.014333333999999809,1.6586666659999985,144.69453382021499,144.60726058172523,36.173633455053746
,29.252,29.220333333,Dun,0.03166666699999965,1.6746666670000003,143.3121018823025,144.2374228878163,35.828025470575625
,30.894,30.879,J2,0.014999999999997016,1.658666667000002,144.6945337329792,144.09716970490467,36.1736334332448
,32.531,32.503,J2,0.027999999999998693,1.6239999999999988,147.7832512315272,145.08239137978163,36.9458128078818
,34.194,34.145666666000004,Dun,0.04833333399999873,1.6426666660000038,146.1038961631912,145.31766336604304,36.5259740407978
,35.83,35.783,Dun,0.046999999999997044,1.6373333339999974,146.5798045005785,145.6947175021157,36.64495112514462
,37.411,37.407,Dun,0.0040000000000048885,1.6239999999999952,147.78325123152752,146.58894737196073,36.94581280788188
,39.063,39.041666666,Dun,0.02133333400000481,1.634666666000001,146.8189233877727,147.01382530291943,36.70473084694318
,40.708,40.697666666,J2,0.01033333399999492,1.656000000000006,144.92753623188355,146.4426823029907,36.23188405797089
,42.329,42.308333333,J2,0.020666667000000416,1.6106666669999967,149.00662248571913,147.02322756749626,37.251655621429784
,43.94,43.929666666,J2,0.01033333399999492,1.6213333330000026,148.0263158199065,147.31252983136187,37.006578954976625
,45.586,45.567,J2,0.01899999999999835,1.6373333339999974,146.5798045005785,147.0718404851721,36.64495112514462
,47.17,47.180333333,J2,0.01033333299999839,1.613333333,148.760330609248,147.4601219294671,37.190082652312
,48.787,48.807,J2,0.020000000000003126,1.626666667000002,147.54098357632338,147.98281139835512,36.885245894080846
,50.346,50.348333333,Dun,0.002333333000002824,1.5413333329999972,155.70934259422808,149.32335542005688,38.92733564855702
,51.969,51.967,Dun,0.0020000000000024443,1.6186666669999994,148.27018118857703,149.37212849379097,37.06754529714426
,53.582,53.583,Dun,0.0009999999999976694,1.6159999999999997,148.51485148514854,149.759137890705,37.128712871287135
,55.227,55.228333333,J2,0.0013333330000051546,1.6453333330000035,145.8670988950295,149.18049154786132,36.466774723757375
,56.835,56.791,J2,0.044000000000004036,1.562666666999995,153.58361771467978,150.38901837553257,38.395904428669944
,58.349,58.351,J2,0.0020000000000024443,1.5600000000000023,153.8461538461536,150.0163806259177,38.4615384615384
,59.881,59.876333333,J2,0.004666667000002178,1.525333332999999,157.34265737704177,151.83087586361063,39.335664344260444
,61.36,61.369666666,Dun,0.0096666660000011,1.4933333330000025,160.71428575015918,154.27076271661275,40.178571437539794
,62.912,62.881666666,J2,0.030333333999998047,1.5120000000000005,158.73015873015868,156.84337468363861,39.68253968253967
,64.41,64.359,J2,0.05100000000000193,1.4773333339999937,162.4548735729001,158.61762585528268,40.61371839322503
,65.834,65.777666666,J2,0.0563333340000014,1.4186666660000071,169.1729324103248,161.6829815681169,42.2932331025812
,67.245,67.201666666,Dun,0.04333333400001038,1.4239999999999924,168.53932584269754,163.92231526124806,42.134831460674384
,68.628,68.593666666,Dun,0.03433333399999583,1.3920000000000101,172.41379310344703,166.26221673190562,43.10344827586176
,70.001,70.004333333,Dun,0.0033333330000004935,1.410666667000001,170.13232510157542,168.54265000618898,42.533081275393855
,71.406,71.383,Dun,0.023000000000010346,1.3786666669999903,174.0812378689371,170.86792286539637,43.52030946723428
,72.817,72.764333333,Dun,0.05266666699999689,1.3813333330000006,173.74517378710058,171.78237114075154,43.436293446775146
,74.217,74.191,J2,0.02599999999999625,1.4266666670000063,168.22429902611506,171.71936577743503,42.056074756528766
,75.597,75.583,J2,0.013999999999995794,1.391999999999996,172.4137931034488,171.7193657774354,43.1034482758622
,76.965,76.924333333,J2,0.04066666699999644,1.3413333330000086,178.92644139635235,173.47818903639077,44.731610349088086
,78.268,78.263,J2,0.0049999999999954525,1.3386666669999983,179.2828684812545,174.51851515885426,44.820717120313624
,79.599,79.577666666,J2,0.02133333400000481,1.3146666659999937,182.55578102563769,176.2806366065617,45.63894525640942
,80.919,80.905666666,J2,0.013333333999995034,1.328000000000003,180.72289156626465,178.7803551145916,45.18072289156616
,82.22,82.201666666,J2,0.018333334000004697,1.2959999999999923,185.1851851851863,181.3346335309391,46.296296296296575
,83.488,83.489666666,J2,0.0016666660000055344,1.288000000000011,186.3354037267065,182.81642599700996,46.58385093167662
,84.794,84.769666666,Dun,0.024333333999990714,1.2800000000000011,187.49999999999983,184.459852300759,46.87499999999996
,86.086,86.04966666600001,Dun,0.03633333399999117,1.2800000000000011,187.49999999999983,185.44869609563142,46.87499999999996
,87.327,87.329666666,J2,0.0026666659999960984,1.279999999999987,187.5000000000019,186.80411778237885,46.875000000000476
,88.613,88.583,Dun,0.030000000000001137,1.2533333340000041,191.489361600271,188.06495306539583,47.87234040006775
,89.836,89.828333333,Dun,0.007666666999995186,1.245333333000005,192.71948613295413,189.34176954664534,48.17987153323853
,91.068,91.060333333,J2,0.007666666999995186,1.2319999999999993,194.8051948051949,190.80280850768435,48.701298701298725
,92.272,92.276333333,J2,0.0043333329999910575,1.215999999999994,197.36842105263256,192.77649271821093,49.34210526315814
,93.498,93.487,J2,0.01100000000000989,1.2106666669999981,198.23788540797446,194.9240697998054,49.559471351993615
,94.728,94.697666666,Dun,0.03033333399999094,1.2106666660000087,198.23788557171548,196.2737745940943,49.55947139292887
