Comment,Marker in sec,Selected Onset,taken from drum,deviation from Cycles' marker,IOI,bpm,Smoothed bpm,cpm
,15.696,15.692333333,J2,0.0036666669999991797,,,,
,19.091,19.052333333,Dun,0.0386666670000011,3.3599999999999994,71.42857142857144,71.42857142857144,17.85714285714286
,22.452,22.428333333,Dun,0.02366666700000053,3.3760000000000012,71.0900473933649,71.25930941096817,17.772511848341225
,25.747,25.735,J2,0.012000000000000455,3.3066666669999982,72.58064515397376,71.6997546586367,18.14516128849344
,29.075,29.087,J2,0.012000000000000455,3.3520000000000003,71.59904534606204,71.67457733049304,17.89976133651551
,32.401,32.399,Dun,0.0020000000000024443,3.312000000000001,72.463768115942,71.83241548758284,18.1159420289855
,35.7,35.713666666,J2,0.013666665999998884,3.314666666000001,72.40547065012176,72.02779533189289,18.10136766253044
,38.913,38.937666666,J2,0.02466666600000167,3.2239999999999966,74.44168734491323,72.69812332220256,18.61042183622831
,42.219,42.191,Dun,0.027999999999998693,3.253333334000004,73.77049178816169,72.93609264904015,18.442622947040423
,45.444,45.433666666,J2,0.010333334000002026,3.242666665999998,74.0131579099534,73.41891516181842,18.50328947748835
,48.659,48.687,J2,0.027999999999998693,3.253333333999997,73.77049178816185,73.68025989626238,18.442622947040462
,51.829,51.823,J2,0.006000000000000227,3.136000000000003,76.5306122448979,74.50528821521762,19.132653061224474
,55.064,55.052333333,Dun,0.011666667000000075,3.2293333329999996,74.31874484664728,74.48069971556443,18.57968621166182
,58.264,58.257666666,J2,0.006333334000004243,3.2053333329999987,74.8752079944754,74.70164295682716,18.71880199861885
,61.401,61.396333333,J2,0.004666667000002178,3.1386666670000025,76.4655904761612,75.19212947006872,19.1163976190403
,64.492,64.489666667,Dun,0.0023333330000099295,3.0933333339999933,77.58620687983073,75.9552724884025,19.39655171995768
,67.602,67.575,J2,0.027000000000001023,3.0853333330000083,77.78738116657146,76.20662627273722,19.446845291642866
,70.693,70.665666666,J2,0.027333333999990828,3.090666666000004,77.65314928335907,76.87350716007957,19.413287320839768
,73.734,73.724333333,J2,0.009666666999990525,3.058666666999997,78.46556232797899,77.59157802678028,19.616390581994747
,76.79,76.783,J2,0.007000000000005002,3.058666666999997,78.46556232797899,77.99157239714384,19.616390581994747
m,79.854,79.841666666,J2,0.01233333400000447,3.0586666659999935,78.46556235363259,78.16744349190422,19.616390588408148
,82.832,82.828333333,J2,0.003666666999990298,2.9866666670000086,80.35714284817419,78.68139582822477,20.089285712043548
,85.843,85.836333333,J2,0.006666667000004622,3.0079999999999956,79.78723404255331,79.10821278006361,19.946808510638327
,88.835,88.833666667,Dun,0.0013333329999909438,2.997333334000004,80.07117435941467,79.42933518635076,20.017793589853667
