Comment,Marker in sec,Selected Onset,taken from drum,deviation from Cycles' marker,IOI,bpm,Smoothed bpm,cpm
,2.182,2.164333333,Dun,0.017666666999999858,,,,
,4.06,4.049666665999999,J2,0.01033333400000025,1.8853333329999993,127.29844415263415,127.29844415263415,31.824611038158537
,5.86,5.852333333,Dun,0.0076666670000005155,1.8026666670000004,133.13609464993783,130.217269401286,33.28402366248446
,7.64,7.617666667,Dun,0.022333332999999733,1.7653333340000001,135.95166158007868,132.12873346088355,33.98791539501967
,9.4,9.361666667,Dun,0.038333333000000636,1.7439999999999998,137.61467889908258,133.5002198204333,34.403669724770644
,11.125,11.121666667,Dun,0.0033333330000004935,1.7599999999999998,136.36363636363637,134.07290312907392,34.09090909090909
,12.749,12.737666666,J2,0.011333333999999695,1.6159999990000014,148.51485157705113,138.31618461395732,37.12871289426278
,14.4,14.420333333,Dun,0.020333332999999953,1.6826666669999994,142.63074482119046,140.21511464820784,35.657686205297615
,16.06,16.055,Dun,0.004999999999999005,1.6346666669999994,146.81892329795704,142.38856699178353,36.70473082448926
,17.66,17.681666667000002,Dun,0.021666667000001638,1.626666667000002,147.54098357632338,144.3738279272317,36.885245894080846
,19.24,19.241666667,Dun,0.0016666670000020645,1.5599999999999987,153.84615384615398,147.8703314237352,38.461538461538495
,20.84,20.828333333,Dun,0.011666667000000075,1.5866666659999993,151.26050426523557,148.4194619613721,37.81512606630889
,22.378,22.372333333,J2,0.005666666999999848,1.5440000000000005,155.44041450777198,150.9813958986884,38.860103626942994
,23.94,23.927,J2,0.013000000000001677,1.5546666669999993,154.37392792573465,152.4923968242439,38.59348198143366
,25.521,25.511,Dun,0.010000000000001563,1.5839999999999996,151.51515151515156,153.28723041200954,37.87878787878789
,27.04,27.039,Dun,0.0009999999999976694,1.5280000000000022,157.0680628272249,153.93161220822373,39.26701570680623
,28.58,28.588333333,Dun,0.008333333000003051,1.5493333329999999,154.90533566155452,154.6605784874875,38.72633391538863
,30.1,30.084333333,Dun,0.01566666700000141,1.4959999999999987,160.42780748663117,155.65805708325937,40.10695187165779
,31.599,31.609666667,Dun,0.010666666999998853,1.525333333999999,157.3426572738888,156.2518029528902,39.3356643184722
,33.1,33.100333333,Dun,0.0003333330000003798,1.4906666660000027,161.00178898076973,158.14913044601383,40.25044724519243
