2nd Level m.cycle,J2 Instances,J1 Instances,Dun Instances,Mean J2 Onsets,Mean J1 Onsets,Mean Dun Onsets,Virtual Onset,Parts,Comment,IOI,bpm,Smoothed bpm,cpm
31.105666666,0,1,1,,31.079,31.105666666,31.092333333,1.0,,,,,
33.735,1,1,1,33.735,33.740333333,33.740333333,33.738555555333335,,,2.6462222223333356,90.6953308661951,90.6953308661951,22.673832716548777
36.375,1,1,1,36.372333333,36.377666666,36.375,36.37499999966667,,,2.6364444443333355,91.03169251900835,90.86351169260172,22.757923129752086
39.028333333,1,1,1,39.015,39.004333333,39.028333333,39.015888888666666,,,2.6408888889999957,90.8784920863819,90.86850515719512,22.719623021595474
41.617666666,1,1,1,41.593666666,41.633666666,41.617666666,41.61499999933333,,,2.5991111106666622,92.33926130169976,91.41648196903002,23.08481532542494
44.220333333,1,1,1,44.223,44.223,44.220333333,44.222111111000004,,,2.6071111116666756,92.0559154253202,91.75788960446728,23.01397885633005
46.852333333,1,1,1,46.839,46.865666666,46.852333333,46.852333333,,,2.6302222219999933,91.24704292761488,91.88073988487827,22.81176073190372
49.473666666,1,1,1,49.473666666,49.495,49.481666666,49.48344444399999,,,2.6311111109999956,91.2162162200684,91.50639152433449,22.8040540550171
52.100333333,1,1,1,52.100333333,52.103,52.100333333,52.101222222,,,2.617777778000004,91.68081493279435,91.38135802682588,22.920203733198587
54.719,1,1,1,54.719,54.713666666,54.713666666,54.715444444000006,,,2.6142222220000093,91.80550833830344,91.56751316372207,22.95137708457586
57.369666666,1,1,1,57.380333333,57.383,57.369666666,57.37766666633333,,,2.6622222223333267,90.15025041359996,91.21219122823258,22.53756260339999
59.999,1,1,1,59.996333333,60.020333333,59.999,60.00522222200001,,,2.6275555556666745,91.3396481693443,91.09846897374923,22.834912042336075
62.636333333,1,1,1,62.636333333,62.644333333,62.641666666,62.640777777333334,,,2.635555555333326,91.06239461138831,90.85076439811087,22.76559865284708
65.271,1,1,1,65.263,65.287,65.271,65.27366666666667,,,2.632888889333337,91.15462523781981,91.18555600618414,22.788656309454954
67.919,1,1,1,67.919,67.924333333,67.916333333,67.91988888866666,,,2.6462222219999916,90.69533087761998,90.97078357560936,22.673832719404995
70.543,1,1,1,70.543,70.548333333,70.543,70.54477777766668,,,2.624888889000019,91.43244158095801,91.09413256546594,22.858110395239503
73.17766666600001,1,1,1,73.164333333,73.185666666,73.17766666600001,73.17588888833335,,,2.631111110666666,91.21621623162439,91.11466289673415,22.804054057906097
75.777666666,1,1,1,75.777666666,75.79366666600001,75.791,75.787444444,,,2.611555555666655,91.89925118737706,91.51596966665316,22.974812796844265
78.391,1,0,1,78.391,,78.399,78.39500000000001,,,2.6075555560000083,92.04022497152856,91.71856413017667,23.01005624288214
81.023,1,1,1,81.009666666,81.041666666,81.023,81.02477777733334,,,2.629777777333331,91.2624641019542,91.73398008695328,22.81561602548855
83.628333333,1,1,1,83.628333333,83.620333333,83.620333333,83.62299999966667,,,2.5982222223333338,92.37085186057256,91.89118031135177,23.09271296514314
86.215,1,1,1,86.215,86.241666666,86.217666666,86.22477777733333,,,2.601777777666655,92.24461906782774,91.95931167678482,23.061154766956935
88.783,1,1,1,88.783,88.801666666,88.785666666,88.79011111066666,,,2.565333333333328,93.55509355509375,92.72352149449802,23.388773388773437
91.396333333,1,1,1,91.396333333,91.409666666,91.396333333,91.40077777733332,,,2.61066666666666,91.93054136874386,92.57675133055511,22.982635342185965
93.977666666,1,1,1,93.967,94.001666666,93.977666666,93.98211111066666,,,2.5813333333333475,92.97520661156973,92.82028051180244,23.243801652892433
96.521666666,1,1,1,96.508333333,96.508333333,96.521666666,96.51277777733333,,,2.5306666666666615,94.83667017913612,93.24747271981657,23.70916754478403
99.065666666,1,1,1,99.063,99.079,99.065666666,99.06922222200001,,,2.556444444666681,93.88038942160236,93.89742207076942,23.47009735540059
101.649666666,1,1,1,101.649666666,101.639,101.639,101.64255555533333,,,2.5733333333333235,93.26424870466357,93.99376943513403,23.316062176165893
104.212333333,1,1,1,104.212333333,104.231,104.223,104.222111111,,,2.5795555556666727,93.03928324892125,93.39464045839573,23.259820812230313
106.772333333,1,1,1,106.780333333,106.772333333,106.772333333,106.77499999966666,,,2.552888888666658,94.01114206946508,93.43822467434997,23.50278551736627
109.361666666,1,1,0,109.361666666,109.372333333,,109.3669999995,,m,2.591999999833334,92.59259259854632,93.21433930564422,23.14814814963658
111.908333333,1,1,1,111.908333333,111.927,111.919,111.91811111099999,,,2.551111111499992,94.07665503792416,93.56012990197853,23.51916375948104
114.457666666,1,1,1,114.457666666,114.473666666,114.465666666,114.465666666,,,2.5475555550000166,94.2079553589945,93.62573433182166,23.551988839748624
117.033666666,1,1,1,117.031,117.044333333,117.033666666,117.036333333,,,2.5706666669999976,93.36099583851656,93.88186874514507,23.34024895962914
119.583,1,1,1,119.569666666,119.583,119.583,119.57855555533335,,,2.5422222223333506,94.40559440146765,93.99151519965956,23.601398600366913
122.116333333,1,1,1,122.132333333,122.137666666,122.116333333,122.12877777733333,,,2.5502222219999737,94.10944580813181,93.95867868270534,23.527361452032952
124.679,1,1,1,124.679,124.684333333,124.676333333,124.67988888866667,,,2.5511111113333413,94.07665504406968,94.19723175122306,23.51916376101742
127.217666666,1,1,1,127.204333333,127.228333333,127.217666666,127.21677777733333,,,2.5368888886666667,94.60406447920498,94.26338844380216,23.651016119801245
129.695,1,1,1,129.689666666,129.70033333299995,129.695,129.69499999966663,,,2.478222222333301,96.84361549063776,95.1747783379708,24.21090387265944
132.228333333,1,1,1,132.21499999999995,132.225666666,132.228333333,132.22299999966665,,,2.52800000000002,94.93670886075874,95.46146294353382,23.734177215189685
134.791,1,1,1,134.76966666599998,134.79366666599998,134.791,134.78477777733332,,,2.561777777666663,93.68494101724879,95.1550884562151,23.421235254312197
137.30566666599998,1,1,1,137.30566666599998,137.324333333,137.319,137.316333333,,,2.531555555666671,94.80337078235573,94.47500688678775,23.700842695588932
139.879,1,1,1,139.879,139.89233333299998,139.873666666,139.88166666633333,,,2.565333333333342,93.55509355509324,94.01446845156592,23.38877338877331
