2nd Level m.cycle,J2 Instances,J1 Instances,Dun Instances,Mean J2 Onsets,Mean J1 Onsets,Mean Dun Onsets,Virtual Onset,Parts,Comment,IOI,bpm,Smoothed bpm,cpm
13.409666666,1,1,1,13.433666666,13.423,13.409666666,13.422111110666668,1.0,,,,,
15.993666666,1,1,1,15.993666666,15.980333333,15.975,15.982999999666667,,,2.5608888889999992,93.717459211484,93.717459211484,23.429364802871
18.487,1,1,1,18.487,18.476333333,18.479,18.480777777666663,,,2.497777777999996,96.08540924412067,94.90143422780233,24.021352311030167
20.980333333,1,1,1,20.980333333,20.959,20.967,20.968777777666666,,,2.488000000000003,96.46302250803846,95.42196365454771,24.115755627009616
23.497666666,1,0,1,23.497666666,,23.479,23.488333333,,,2.5195555553333335,95.25489505161887,95.934442267926,23.81372376290472
25.988333333,1,0,1,25.988333333,,25.977666666,25.982999999500002,,,2.4946666665000023,96.2052378471542,95.97438513560384,24.05130946178855
28.471,1,1,1,28.476333333,28.457666666,28.471,28.468333333,,,2.485333333499998,96.56652359867454,96.0088854991492,24.141630899668634
30.937666666,1,1,1,30.937666666,30.924333333,30.921666666,30.92788888833333,,,2.4595555553333313,97.57860499616729,96.78345548066534,24.39465124904182
33.369666666,1,1,1,33.369666666,33.353666666,33.383,33.36877777733334,,,2.4408888890000107,98.32483612079687,97.48998823854623,24.58120903019922
35.761666666,1,1,1,35.761666666,35.748333333,35.756333333,35.755444444,,,2.386666666666656,100.55865921787755,98.8207001116139,25.139664804469387
38.193666666,1,0,0,38.193666666,,,38.193666666,,,2.4382222220000003,98.43237332286112,99.10528955384518,24.60809333071528
40.556333333,1,1,1,40.556333333,40.540333333,40.548333333,40.548333333,,,2.3546666670000036,101.92525479870805,100.30542911314892,25.481313699677013
42.972333333,1,1,1,42.972333333,42.956333333,42.969666666,42.96611111066667,,,2.4177777776666645,99.26470588691483,99.87411133616133,24.816176471728706
45.391,0,1,1,,45.407,45.391,45.399,,,2.4328888893333342,98.64815489611831,99.94603852724707,24.66203872402958
