2nd Level m.cycle,J2 Instances,J1 Instances,Dun Instances,Mean J2 Onsets,Mean J1 Onsets,Mean Dun Onsets,Virtual Onset,Parts,Comment,IOI,bpm,Smoothed bpm,cpm
18.084333333,0,0,1,,,18.084333333,18.084333333,1.0,,,,,
20.268333333,1,1,1,20.276333333,20.263,20.268333333,20.269222222,,,2.184888889,109.8454027608907,109.8454027608907,27.461350690222677
22.423,0,0,1,,,22.423,22.423,,,2.1537777779999985,111.43210894434262,110.63875585261667,27.858027236085654
24.497666666,1,0,1,24.497666666,,24.495,24.496333333000003,,,2.0733333330000043,115.75562702825628,112.34437957782988,28.93890675706407
26.585666667,1,0,1,26.609666666,,26.585666667,26.5976666665,,,2.1013333334999977,114.21319796048448,113.80031131102778,28.55329949012112
28.764333333,0,0,1,,,28.764333333,28.764333333,,,2.1666666664999994,110.76923077775152,113.5793519221641,27.69230769443788
30.983,1,1,1,31.007,30.953666666,30.983,30.981222222,,,2.216888889,108.2598235711578,111.08075076979793,27.06495589278945
33.316333333,1,0,1,33.303,,33.316333333,33.3096666665,,,2.3284444445000005,103.07310555203584,107.36738663364838,25.76827638800896
35.583,1,1,1,35.593666666,35.593666666,35.583,35.59011111066666,,,2.280444444166662,105.24264277251565,105.5251906319031,26.310660693128913
37.847,1,1,1,37.847,37.836333333,37.852333333,37.845222222,,,2.255111111333335,106.42491130208656,104.91355320887935,26.60622782552164
40.148333333,1,0,1,40.148333333,,40.148333333,40.148333333,,,2.3031111109999998,104.20686993941563,105.29147467133929,26.051717484853906
42.431,1,1,1,42.439,42.412333333,42.431,42.42744444433333,,,2.2791111113333358,105.30421215821906,105.31199779990709,26.326053039554765
44.671,1,1,1,44.671,44.676333333,44.681666667,44.67633333333333,,,2.248888889,106.71936758366012,105.41014989376492,26.67984189591503
46.956333333,1,1,1,46.967,46.935,46.956333333,46.952777777666675,,,2.276444444333343,105.42756736164674,105.81704903450863,26.356891840411684
49.223,1,1,1,49.223,49.204333333,49.220333333,49.215888888666676,,,2.2631111110000006,106.04870385438178,106.06521293322955,26.512175963595446
51.481666667,1,0,1,51.471,,51.481666667,51.476333333499994,,,2.2604444448333183,106.17381044182098,105.88336055261648,26.543452610455244
53.516333333,0,0,1,,,53.516333333,53.516333333,,mm,2.0399999995000044,117.64705885236422,109.95652438285566,29.411764713091056
55.868333333,1,0,1,55.863,,55.868333333,55.865666666500005,,,2.349333333500006,102.15664017436434,108.65916982284985,25.539160043591085
58.068333333,1,1,1,58.068333333,58.095,58.063,58.075444444333336,,,2.209777777833331,108.60820595060832,109.47063499244564,27.15205148765208
60.265666666,1,1,1,60.265666666,60.252333333,60.276333333,60.264777777333336,,,2.1893333330000004,109.62241170974761,106.7957526115734,27.405602927436902
62.463,1,1,1,62.492333333,62.489666666,62.463,62.48166666633333,,,2.2168888889999963,108.25982357115797,108.8301470771713,27.06495589278949
64.665666666,1,1,0,64.665666666,64.636333333,,64.6509999995,,,2.1693333331666693,110.63306700296799,109.50510076129119,27.658266750741998
66.82300000000001,1,0,1,66.82300000000001,,66.841666667,66.8323333335,,,2.1813333340000014,110.02444984412449,109.63911347275014,27.506112461031123
69.025666667,1,1,1,69.055,69.028333333,69.025666667,69.03633333333333,,,2.2039999998333286,108.89292196830732,109.85014627179993,27.22323049207683
71.215,1,1,1,71.220333333,71.207,71.215,71.214111111,,,2.1777777776666625,110.20408163827594,109.70715115023592,27.551020409568984
73.401666667,1,1,1,73.393666666,73.377666666,73.401666667,73.39099999966666,,,2.1768888886666673,110.24908126891066,109.7820282918313,27.562270317227664
75.601666667,1,0,1,75.599,,75.601666667,75.6003333335,,,2.2093333338333423,108.63005429044236,109.69440573254299,27.15751357261059
77.764333333,1,1,1,77.764333333,77.743,77.759,77.75544444433332,,,2.1551111108333174,111.36316767779047,110.08076774571448,27.840791919447618
79.913666666,1,1,1,79.913666666,79.887,79.919,79.90655555533333,,,2.151111111000006,111.57024793964692,110.52115663595993,27.89256198491173
81.945666667,1,1,1,81.95100000000001,81.935,81.945666667,81.94388888900001,,,2.0373333336666803,117.80104710114432,113.57815423952724,29.45026177528608
83.887,0,0,1,,,83.887,83.887,,,1.9431111109999932,123.5132662467704,117.62818709585389,30.8783165616926
85.737666667,1,0,1,85.727,,85.737666667,85.73233333350001,,,1.8453333335000082,130.05780345646096,123.79070560145855,32.51445086411524
87.508333333,1,1,1,87.508333333,87.487,87.513666667,87.503,,,1.7706666664999915,135.54216868745755,129.7044127968963,33.88554217186439
89.215,1,1,1,89.215,89.188333333,89.217666667,89.207,,,1.7039999999999935,140.84507042253574,135.48168085548474,35.211267605633935
90.857666666,1,1,1,90.857666666,90.831,90.852333333,90.84699999966666,,,1.6399999996666708,146.34146344437798,140.90956751812374,36.585365861094495
92.452333333,1,1,1,92.452333333,92.436333333,92.468333333,92.452333333,,,1.6053333333333342,149.50166112956802,145.5627316654939,37.375415282392005
94.023,1,1,1,94.023,94.009666666,94.020333333,94.01766666633334,,,1.5653333333333421,153.32197614991395,149.72170024128664,38.33049403747849
95.497666667,1,1,1,95.471,95.473666666,95.497666667,95.48077777766666,,,1.463111111333319,164.03402184629047,155.6192197085908,41.00850546157262
96.884333333,1,1,1,96.871,96.855,96.884333333,96.87011111099999,,,1.389333333333326,172.7447216890604,163.36690656175494,43.1861804222651
