2nd Level m.cycle,J2 Instances,J1 Instances,Dun Instances,Mean J2 Onsets,Mean J1 Onsets,Mean Dun Onsets,Virtual Onset,Parts,Comment,IOI,bpm,Smoothed bpm,cpm
19.948333333,0,0,1,,,19.948333333,19.948333333,1.0,,,,,
22.124333333,0,0,1,,,22.124333333,22.124333333,,,2.1759999999999984,110.29411764705891,110.29411764705891,27.573529411764728
24.295,0,0,1,,,24.295,24.295,,,2.1706666670000025,110.56511054813177,110.42961409759533,27.641277637032942
26.439,0,0,1,,,26.439,26.439,,,2.1439999999999984,111.94029850746277,110.93317556755115,27.985074626865693
28.532333333,0,0,1,,,28.532333333,28.532333333,,,2.0933333330000004,114.64968154691871,112.38503020083776,28.66242038672968
30.620333333,0,0,1,,,30.620333333,30.620333333,,,2.088000000000001,114.94252873563214,113.84416959667122,28.735632183908034
32.724333333,0,0,1,,,32.724333333,32.724333333,,,2.1039999999999957,114.06844106463902,114.55355044906328,28.517110266159754
34.833666666,0,0,1,,,34.833666666,34.833666666,,,2.109333333000002,113.78002530243036,114.26366503423384,28.44500632560759
36.929666666,0,1,1,,36.948333333,36.929666666,36.9389999995,,,2.105333333499999,113.9962001176381,113.94822216156915,28.499050029409524
38.983,0,1,1,,38.996333333,38.983,38.9896666665,,,2.0506666670000016,117.03511051413595,114.93711197806813,29.258777628533988
41.076333333,1,0,1,41.092333333,,41.076333333,41.084333333000004,,,2.0946666665000038,114.57670274622646,115.20267112600017,28.644175686556615
43.127,1,0,1,43.145666666,,43.127,43.136333332999996,,,2.0519999999999925,116.9590643274858,116.19029252928273,29.23976608187145
45.241666666,1,1,1,45.241666666,45.247,45.247,45.245222221999995,,,2.1088888889999993,113.80400420896716,115.11325709422647,28.45100105224179
47.305666666,1,1,1,47.319,47.287,47.305666666,47.30388888866667,,,2.0586666666666744,116.58031088082858,115.78112647242718,29.145077720207144
49.324333333,1,1,1,49.316333333,49.335,49.324333333,49.325222222,,,2.021333333333331,118.73350923482863,116.37260810820813,29.683377308707158
51.348333333,1,1,1,51.348333333,51.348333333,51.359,51.35188888866667,,,2.026666666666671,118.4210526315787,117.91162424907863,29.605263157894676
53.364333333,1,1,1,53.364333333,53.348333333,53.353666666,53.355444444,,,2.003555555333328,119.78704526617013,118.98053571085916,29.94676131654253
55.369666666,1,1,1,55.351,55.359,55.369666666,55.35988888866667,,,2.0044444446666674,119.73392459869908,119.31400749881595,29.93348114967477
57.375,1,1,1,57.375,57.372333333,57.377666666,57.37499999966667,,,2.015111111000003,119.10013234004724,119.54036740163882,29.77503308501181
59.375,1,0,1,59.375,,59.383,59.379000000000005,,,2.0040000003333347,119.76047902199585,119.53151198691405,29.940119755498962
61.348333333,1,0,1,61.348333333,,61.377666666,61.362999999500005,,,1.9839999995,120.9677419659697,119.94278444267093,30.241935491492423
63.369666666,1,0,1,63.369666666,,63.372333333,63.3709999995,,,2.0079999999999956,119.52191235059787,120.08337777952113,29.880478087649468
65.385666666,1,0,1,65.385666666,,65.388333333,65.3869999995,,,2.0160000000000053,119.04761904761874,119.8457577880621,29.761904761904685
67.404333333,1,0,1,67.385666666,,67.404333333,67.3949999995,,,2.0079999999999956,119.52191235059787,119.36381458293816,29.880478087649468
69.423,1,0,1,69.423,,69.423,69.423,,,2.0280000005000005,118.34319523709485,118.97090887843716,29.58579880927371
