2nd Level m.cycle,J2 Instances,J1 Instances,Dun Instances,Mean J2 Onsets,Mean J1 Onsets,Mean Dun Onsets,Virtual Onset,Parts,Comment,IOI,bpm,Smoothed bpm,cpm
5.959,1,0,1,5.959,,5.961666665999999,5.9603333329999995,1.0,,,,,
8.673666666,1,0,1,8.673666666,,8.668333333000001,8.670999999500001,,,2.7106666665000017,88.53910477671779,88.53910477671779,22.134776194179448
11.372333333,1,0,1,11.361666666,,11.372333333,11.366999999499999,,,2.695999999999998,89.02077151335318,88.77993814503549,22.255192878338296
14.065666666,1,1,1,14.065666666,14.089666666,14.049666666,14.068333332666667,,,2.7013333331666676,88.84501481298399,88.801630367685,22.211253703245998
16.740333333,1,1,1,16.740333333,16.732333333,16.740333333,16.73766666633333,,,2.6693333336666623,89.91008989886252,89.2586254083999,22.47752247471563
19.340333333,1,1,1,19.359,19.348333333,19.340333333,19.349222221999998,,,2.611555555666669,91.89925118737656,90.21811863307437,22.97481279684414
21.977666666,1,1,1,21.972333333,21.975,21.977666666,21.974999999666668,,,2.62577777766667,91.4014895096225,91.0702768652872,22.850372377405623
24.591,1,1,1,24.591,24.596333333,24.575,24.587444444333332,,,2.6124444446666644,91.86798229909263,91.72290766536389,22.966995574773158
27.148333333,1,0,1,27.151,,27.148333333,27.1496666665,,,2.5622222221666675,93.6686903749711,92.31272072789541,23.417172593742777
29.783,1,1,1,29.761666666,29.756333333,29.783,29.766999999666666,,,2.617333333166666,91.69638309295063,92.4110185890048,22.924095773237656
32.233666666,1,1,1,32.239,32.215,32.233666666,32.229222222000004,,,2.462222222333338,97.47292418332684,94.27933255041619,24.36823104583171
34.668333333,1,0,1,34.668333333,,34.676333333,34.672333333,,,2.4431111109999932,98.23540113235589,95.80156946954445,24.558850283088972
37.111,1,0,1,37.116333333,,37.111,37.113666666499995,,,2.4413333334999976,98.30693609378035,98.00508713648769,24.576734023445088
39.591,1,0,1,39.591,,39.612333333,39.6016666665,,,2.4880000000000067,96.46302250803832,97.66845324472486,24.11575562700958
