Store,Original Item,Translated Item,Quantity,Unit Price (CHF),Total (CHF),Person/Shared,Paid_by
Coop,Flour Tortillas 480,Flour Tortillas 480g,1,2,2,Shared,Sagar
Coop,Eier CH Bodenhaltung,Swiss eggs (barn eggs),1,4.2,4.2,"Maham, Sagar, Diego",Sagar
Coop,Zwiebeln gelb (0.230 kg),Yellow onions,0.23,0.45,0.45,Shared,Sagar
Coop,Blumenkohl,Cauliflower,1,4.25,4.25,Shared,Sagar
Coop,Rispentomaten (0.225 kg),Vine tomatoes,0.225,1.8,1.8,Shared,Sagar
Coop,Red Kidney Beans 29,Red kidney beans (can),1,1.7,1.7,Shared,Sagar
Coop,Quick Noodles Curry,Curry instant noodles,6,1.9,11.4,Shared,Sagar
Coop,Rabatt Knorr,Knorr discount,,,-2.4,Shared,Sagar
Migros,Badoit 1L,Badoit sparkling water,1,1,1,"Pedro, Sagar, Diego",Sagar
Migros,Bio Limes,Organic limes,1,2.5,2.5,"Pedro, Sagar, Diego",Sagar
