Original Name,Translated Name,Total (CHF),Person/Shared,Paid_by
MISCHSALAT BEUT 250G,Mixed salad bag 250g,2.95,Pedro,Pedro
POULETBRUSTLI,Chicken breast slices,16.55,Pedro,Pedro
KÄGI BISCUITS 200G,Kägi biscuits 200g,3.95,"Maham, Sagar. Diego",Pedro
EIER 10 ST,Eggs (10 pieces),8,"Pedro, Diego",Pedro
BM ERDNÜSSE 325G,BM peanuts 325g,4.95,Diego,Pedro
FS BRADFIRICH 0.5L,Fruit beer or Radler 0.5L,2.35,Sagar,Pedro
FELDSCHLÖSSCHEN DOSE 50CL,Feldschlösschen beer can 50cl,2.3,Sagar,Pedro
VOLG PIZZA MARGHER.,Volg Margherita Pizza,3.85,"Maham, Sagar. Diego",Pedro
Z CHIPS PAPRIKA 28G,2 Paprika chips 28g,6.6,Shared,Pedro
KNO ASIA CHICKEN 70G,Knorr Asian Chicken 70g,6.8,Shared,Pedro
RUCOLA SCHALE 100G,Rocket (arugula) tray 100g,2.9,Shared,Pedro
NEST CERV. BLÄTTERT,Puff pastry or meat slices,5.2,Pedro,Pedro
AVOCADOS HASS,Hass avocados,7.2,Shared,Pedro
THON ROSE NAT 155G,Canned pink tuna (natural) 155g,4.2,Diego,Pedro
LINZERTORTE BÄCKEREI GRÄBER,Linzertorte (Bakery Gräber),16,Shared,Pedro
VOLG FP FEL CH 10 ST,Volg apples (10 pcs),3.95,Diego,Pedro
EIER 6 ST,Eggs (6 pieces),4.8,"Sagar, Maham",Pedro
KÄSE,Cheese,7.35,Shared,Pedro
SCHWEINSSTEAK,Pork steak,14.15,Pedro,Pedro
KÄSEREIBUTTER NÄFEN,Dairy butter (Näfen),3.9,Shared,Pedro
SARDINEN IN ÖL 90G,Sardines in oil 90g,1.85,Diego,Pedro
CHAMPIGNON WEISS 250G,White mushrooms 250g,3.6,Shared,Pedro
VOLG FP NATURE 500G,"Volg yogurt, plain 500g",1.1,Shared,Pedro
GRANINI FRUCHTCOCK TL,Granini fruit cocktail drink,3.95,Shared,Pedro
